deckung_id,vertrag_id,deckungsart,baustein,summe,selbstbehalt,selbstbehalt_typ,gueltig_von,gueltig_bis
DEK-00000101-01,VTR-00000101,HAUPTDECKUNG,,10000000.0,200.0,fix,2016-03-01,
DEK-00000102-01,VTR-00000102,HAUPTDECKUNG,,974000.0,,,2019-05-01,
DEK-00000103-01,VTR-00000103,HAUPTDECKUNG,,132000.0,,,2019-05-01,
DEK-00000104-01,VTR-00000104,HAUPTDECKUNG,,109000.0,,,2020-01-01,
DEK-00000201-01,VTR-00000201,HAUPTDECKUNG,,5000000.0,0.0,fix,2021-09-01,
DEK-00000202-01,VTR-00000202,HAUPTDECKUNG,,139000.0,,,2025-10-01,
DEK-00000203-01,VTR-00000203,HAUPTDECKUNG,,20000000.0,0.0,fix,2021-03-15,2021-03-24
DEK-00000203-02,VTR-00000203,BAUSTEIN,BS-AUSFALL,,,,2021-03-15,2021-03-24
DEK-00000203-03,VTR-00000203,BAUSTEIN,BS-SCHLUESSEL,,,,2021-03-15,2021-03-24
DEK-00000301-01,VTR-00000301,HAUPTDECKUNG,,10000000.0,500.0,fix,2016-01-01,
DEK-00000301-02,VTR-00000301,BAUSTEIN,BS-PRODUKT,,,,2016-01-01,
DEK-00000301-03,VTR-00000301,BAUSTEIN,BS-UMWELT,,,,2016-01-01,
DEK-00000302-01,VTR-00000302,HAUPTDECKUNG,,993000.0,,,2019-07-01,
DEK-00000302-02,VTR-00000302,ZUSATZ,LV-EU,1000.0,,,2019-07-01,
DEK-00000401-01,VTR-00000401,HAUPTDECKUNG,,5000000.0,0.0,prozent_min,2014-01-01,
DEK-00000401-02,VTR-00000401,BAUSTEIN,BS-PRODUKT,,,,2014-01-01,
DEK-00000402-01,VTR-00000402,HAUPTDECKUNG,,93000.0,,,2018-03-01,
DEK-00000501-01,VTR-00000501,HAUPTDECKUNG,,135000.0,,,1995-07-01,2019-06-09
DEK-00000502-01,VTR-00000502,HAUPTDECKUNG,,66000.0,,,2019-09-01,
DEK-00000503-01,VTR-00000503,HAUPTDECKUNG,,5000000.0,200.0,fix,2001-01-01,
DEK-00000503-02,VTR-00000503,BAUSTEIN,BS-TIER-HUND,,,,2001-01-01,
DEK-00000601-01,VTR-00000601,HAUPTDECKUNG,,1000.0,,,2016-04-01,
DEK-00000602-01,VTR-00000602,HAUPTDECKUNG,,314000.0,,,2025-07-01,
DEK-00000701-01,VTR-00000701,HAUPTDECKUNG,,10000000.0,200.0,fix,2024-09-01,2025-12-31
DEK-00000701-02,VTR-00000701,BAUSTEIN,BS-TIER-PFERD,,,,2024-09-01,2025-12-31
DEK-00000702-01,VTR-00000702,HAUPTDECKUNG,,91000.0,,,2025-02-01,
DEK-00000801-01,VTR-00000801,HAUPTDECKUNG,,5000000.0,150.0,fix,2013-01-01,
DEK-00000801-02,VTR-00000801,BAUSTEIN,BS-TIER-HUND,,,,2013-01-01,
DEK-00000801-03,VTR-00000801,BAUSTEIN,BS-GEBAEUDE,,,,2013-01-01,
DEK-00000801-04,VTR-00000801,BAUSTEIN,BS-SCHLUESSEL,,,,2013-01-01,
DEK-00000901-01,VTR-00000901,HAUPTDECKUNG,,5000000.0,500.0,fix,2022-02-01,2025-01-15
DEK-00000901-02,VTR-00000901,BAUSTEIN,BS-PRODUKT,,,,2022-02-01,2025-01-15
DEK-00000902-01,VTR-00000902,HAUPTDECKUNG,,5000000.0,0.0,fix,2023-05-15,2025-01-15
DEK-00001001-01,VTR-00001001,HAUPTDECKUNG,,113000.0,,,2025-07-01,
DEK-00002001-01,VTR-00002001,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-12-01,
DEK-00002002-01,VTR-00002002,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-04-01,
DEK-00002003-01,VTR-00002003,HAUPTDECKUNG,,10000000.0,0.0,fix,2017-11-01,2018-09-01
DEK-00002003-02,VTR-00002003,BAUSTEIN,BS-TIER-HUND,,,,2017-11-01,2018-09-01
DEK-00002004-01,VTR-00002004,HAUPTDECKUNG,,5000000.0,100.0,fix,2015-03-01,2024-08-01
DEK-00002005-01,VTR-00002005,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-07-01,
DEK-00002006-01,VTR-00002006,HAUPTDECKUNG,,10000000.0,0.0,fix,2025-07-01,
DEK-00002007-01,VTR-00002007,HAUPTDECKUNG,,50000000.0,0.0,fix,2023-03-01,
DEK-00002007-02,VTR-00002007,BAUSTEIN,BS-GEBAEUDE,,,,2023-03-01,
DEK-00002007-03,VTR-00002007,BAUSTEIN,BS-AUSFALL,,,,2023-03-01,
DEK-00002007-04,VTR-00002007,BAUSTEIN,BS-DROHNE,,,,2023-03-01,
DEK-00002008-01,VTR-00002008,HAUPTDECKUNG,,5000000.0,200.0,fix,2013-05-01,
DEK-00002009-01,VTR-00002009,HAUPTDECKUNG,,5000000.0,150.0,fix,2015-02-01,2019-11-01
DEK-00002009-02,VTR-00002009,BAUSTEIN,BS-TIER-HUND,,,,2015-02-01,2019-11-01
DEK-00002010-01,VTR-00002010,HAUPTDECKUNG,,10000000.0,0.0,fix,2021-05-01,
DEK-00002010-02,VTR-00002010,BAUSTEIN,BS-OELTANK,,,,2021-05-01,
DEK-00002011-01,VTR-00002011,HAUPTDECKUNG,,5000000.0,0.0,fix,2021-04-01,2024-08-01
DEK-00002011-02,VTR-00002011,BAUSTEIN,BS-AUSFALL,,,,2021-04-01,2024-08-01
DEK-00002012-01,VTR-00002012,HAUPTDECKUNG,,5000000.0,0.0,fix,2017-03-01,
DEK-00002013-01,VTR-00002013,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-02-01,
DEK-00002013-02,VTR-00002013,BAUSTEIN,BS-BAUHERR,,,,2025-02-01,
DEK-00002014-01,VTR-00002014,HAUPTDECKUNG,,10000000.0,500.0,fix,2018-01-01,
DEK-00002015-01,VTR-00002015,HAUPTDECKUNG,,5000000.0,500.0,fix,2025-04-01,
DEK-00002016-01,VTR-00002016,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-04-01,
DEK-00002016-02,VTR-00002016,BAUSTEIN,BS-TIER-HUND,,,,2025-04-01,
DEK-00002017-01,VTR-00002017,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-04-01,
DEK-00002017-02,VTR-00002017,BAUSTEIN,BS-GEBAEUDE,,,,2016-04-01,
DEK-00002018-01,VTR-00002018,HAUPTDECKUNG,,5000000.0,200.0,fix,2018-07-01,
DEK-00002019-01,VTR-00002019,HAUPTDECKUNG,,10000000.0,0.0,fix,2025-02-01,
DEK-00002020-01,VTR-00002020,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-12-01,
DEK-00002021-01,VTR-00002021,HAUPTDECKUNG,,10000000.0,200.0,fix,2019-10-01,
DEK-00002021-02,VTR-00002021,BAUSTEIN,BS-TIER-HUND,,,,2019-10-01,
DEK-00002022-01,VTR-00002022,HAUPTDECKUNG,,10000000.0,0.0,fix,2022-06-01,
DEK-00002022-02,VTR-00002022,BAUSTEIN,BS-AUSFALL,,,,2022-06-01,
DEK-00002023-01,VTR-00002023,HAUPTDECKUNG,,10000000.0,0.0,fix,2013-04-01,
DEK-00002023-02,VTR-00002023,BAUSTEIN,BS-TIER-HUND,,,,2013-04-01,
DEK-00002024-01,VTR-00002024,HAUPTDECKUNG,,20000000.0,0.0,fix,2022-04-01,
DEK-00002024-02,VTR-00002024,BAUSTEIN,BS-AUSFALL,,,,2022-04-01,
DEK-00002025-01,VTR-00002025,HAUPTDECKUNG,,5000000.0,0.0,fix,2017-06-01,
DEK-00002026-01,VTR-00002026,HAUPTDECKUNG,,5000000.0,200.0,fix,2020-10-01,
DEK-00002027-01,VTR-00002027,HAUPTDECKUNG,,10000000.0,250.0,fix,2025-08-01,
DEK-00002028-01,VTR-00002028,HAUPTDECKUNG,,5000000.0,150.0,fix,2017-12-01,
DEK-00002029-01,VTR-00002029,HAUPTDECKUNG,,5000000.0,150.0,fix,2012-03-01,2013-08-01
DEK-00002030-01,VTR-00002030,HAUPTDECKUNG,,10000000.0,200.0,fix,2017-07-01,
DEK-00002030-02,VTR-00002030,BAUSTEIN,BS-TIER-PFERD,,,,2017-07-01,
DEK-00002031-01,VTR-00002031,HAUPTDECKUNG,,10000000.0,200.0,fix,2025-01-01,
DEK-00002032-01,VTR-00002032,HAUPTDECKUNG,,20000000.0,0.0,fix,2024-08-01,
DEK-00002032-02,VTR-00002032,BAUSTEIN,BS-AUSFALL,,,,2024-08-01,
DEK-00002033-01,VTR-00002033,HAUPTDECKUNG,,5000000.0,0.0,fix,2025-05-01,
DEK-00002034-01,VTR-00002034,HAUPTDECKUNG,,5000000.0,0.0,fix,2024-11-01,
DEK-00002034-02,VTR-00002034,BAUSTEIN,BS-AUSFALL,,,,2024-11-01,
DEK-00002035-01,VTR-00002035,HAUPTDECKUNG,,5000000.0,200.0,fix,2025-12-01,
DEK-00002036-01,VTR-00002036,HAUPTDECKUNG,,50000000.0,150.0,fix,2025-05-01,
DEK-00002036-02,VTR-00002036,BAUSTEIN,BS-AUSFALL,,,,2025-05-01,
DEK-00002037-01,VTR-00002037,HAUPTDECKUNG,,5000000.0,0.0,fix,2022-08-01,
DEK-00002037-02,VTR-00002037,BAUSTEIN,BS-DROHNE,,,,2022-08-01,
DEK-00002038-01,VTR-00002038,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-08-01,
DEK-00002039-01,VTR-00002039,HAUPTDECKUNG,,50000000.0,0.0,fix,2025-06-01,
DEK-00002039-02,VTR-00002039,BAUSTEIN,BS-GEBAEUDE,,,,2025-06-01,
DEK-00002040-01,VTR-00002040,HAUPTDECKUNG,,10000000.0,0.0,fix,2022-04-01,
DEK-00002041-01,VTR-00002041,HAUPTDECKUNG,,20000000.0,0.0,fix,2025-04-01,
DEK-00002041-02,VTR-00002041,BAUSTEIN,BS-TIER-HUND,,,,2025-04-01,
DEK-00002041-03,VTR-00002041,BAUSTEIN,BS-GEBAEUDE,,,,2025-04-01,
DEK-00002041-04,VTR-00002041,BAUSTEIN,BS-KINDER,,,,2025-04-01,
DEK-00002042-01,VTR-00002042,HAUPTDECKUNG,,5000000.0,200.0,fix,2016-10-01,2022-09-01
DEK-00002043-01,VTR-00002043,HAUPTDECKUNG,,5000000.0,0.0,fix,2015-11-01,2020-02-01
