partner_id_von,partner_id_zu,beziehung,seit
PTR-00000011,PTR-00000001,EHEPARTNER,2010-01-01
PTR-00000012,PTR-00000003,INHABER,2010-01-01
PTR-00000013,PTR-00000003,KONTAKT,2010-01-01
PTR-00000014,PTR-00000004,GESCHAEFTSFUEHRUNG,2010-01-01
PTR-00000015,PTR-00000005,EHEPARTNER,2010-01-01
PTR-00000016,PTR-00000006,EHEPARTNER,2010-01-01
PTR-00000017,PTR-00000009,INHABER,2010-01-01
PTR-00000018,PTR-00000010,EHEPARTNER,2010-01-01
PTR-00000019,PTR-00000001,KIND,2010-01-01
PTR-00000020,PTR-00000001,KIND,2010-01-01
PTR-00000022,PTR-00000021,EHEPARTNER,
PTR-00000025,PTR-00000024,EHEPARTNER,
PTR-00000027,PTR-00000026,EHEPARTNER,
PTR-00000033,PTR-00000032,EHEPARTNER,
PTR-00000036,PTR-00000035,EHEPARTNER,
PTR-00000037,PTR-00000035,KIND,2007-06-03
PTR-00000039,PTR-00000038,EHEPARTNER,
PTR-00000042,PTR-00000041,EHEPARTNER,
PTR-00000044,PTR-00000043,EHEPARTNER,
PTR-00000045,PTR-00000043,KIND,2007-06-11
PTR-00000046,PTR-00000043,KIND,2007-07-16
PTR-00000048,PTR-00000047,EHEPARTNER,
PTR-00000051,PTR-00000050,EHEPARTNER,
PTR-00000055,PTR-00000054,EHEPARTNER,
PTR-00000056,PTR-00000054,KIND,2007-06-26
PTR-00000057,PTR-00000054,KIND,2007-02-12
PTR-00000059,PTR-00000058,EHEPARTNER,
PTR-00000062,PTR-00000061,EHEPARTNER,
PTR-00000063,PTR-00000061,KIND,2007-04-22
PTR-00000064,PTR-00000061,KIND,2007-09-15
PTR-00000067,PTR-00000066,EHEPARTNER,
PTR-00000069,PTR-00000068,EHEPARTNER,
PTR-00000071,PTR-00000070,EHEPARTNER,
PTR-00000072,PTR-00000070,KIND,2007-04-01
PTR-00000073,PTR-00000070,KIND,2005-06-15
PTR-00000075,PTR-00000074,EHEPARTNER,
PTR-00000076,PTR-00000074,KIND,2007-04-11
PTR-00000077,PTR-00000074,KIND,2007-08-13
PTR-00000080,PTR-00000079,EHEPARTNER,
