partner_id,branche_id,nace_code,risikoklasse,mitarbeitende,umsatz
PTR-00000003,BK-008,43.32,3.0,14.0,2600000.0
PTR-00000004,BK-005,43.22,4.0,42.0,6800000.0
PTR-00000009,BK-028,49.41,4.0,3.0,310000.0
PTR-00000053,BK-044,56.10,3.0,2.0,264000.0
PTR-00000137,BK-001,41.20,4.0,4.0,454000.0
PTR-00000157,BK-044,56.10,3.0,1.0,103000.0
PTR-00000234,BK-011,43.39,3.0,3.0,288000.0
PTR-00000236,BK-076,68.20,2.0,4.0,613000.0
PTR-00000243,BK-057,96.02,1.0,5.0,613000.0
PTR-00000259,BK-055,81.30,3.0,3.0,344000.0
PTR-00000269,BK-049,10.71,2.0,10.0,862000.0
PTR-00000284,BK-011,43.39,3.0,2.0,508000.0
PTR-00000285,BK-054,81.21,2.0,5.0,378000.0
PTR-00000310,BK-004,43.21,3.0,1.0,109000.0
PTR-00000314,BK-059,93.13,2.0,5.0,1067000.0
PTR-00000326,BK-009,43.33,3.0,7.0,700000.0
PTR-00000333,BK-035,47.11,2.0,5.0,535000.0
PTR-00000336,BK-012,43.91,5.0,22.0,3878000.0
PTR-00000359,BK-035,47.11,2.0,3.0,204000.0
PTR-00000367,BK-064,86.23,2.0,5.0,811000.0
PTR-00000378,BK-075,62.01,1.0,50.0,3915000.0
PTR-00000408,BK-015,31.09,3.0,6.0,749000.0
PTR-00000431,BK-026,45.20,3.0,15.0,1009000.0
PTR-00000437,BK-035,47.11,2.0,4.0,737000.0
PTR-00000488,BK-047,10.13,3.0,3.0,397000.0
PTR-00000518,BK-075,62.01,1.0,1.0,68000.0
PTR-00000526,BK-057,96.02,1.0,10.0,1228000.0
PTR-00000541,BK-007,43.31,3.0,7.0,1246000.0
PTR-00000545,BK-040,47.78,1.0,6.0,762000.0
PTR-00000576,BK-015,31.09,3.0,1.0,103000.0
PTR-00000579,BK-029,52.29,2.0,3.0,383000.0
PTR-00000588,BK-005,43.22,4.0,1.0,147000.0
PTR-00000590,BK-055,81.30,3.0,3.0,269000.0
PTR-00000618,BK-002,42.11,4.0,5.0,848000.0
PTR-00000653,BK-052,1.50,3.0,5.0,549000.0
PTR-00000656,BK-061,88.91,2.0,1.0,192000.0
PTR-00000664,BK-060,93.29,4.0,3.0,364000.0
PTR-00000676,BK-076,68.20,2.0,8.0,620000.0
PTR-00000694,BK-061,88.91,2.0,8.0,401000.0
PTR-00000701,BK-037,47.52,2.0,5.0,613000.0
PTR-00000705,BK-012,43.91,5.0,2.0,183000.0
PTR-00000707,BK-061,88.91,2.0,12.0,868000.0
PTR-00000729,BK-005,43.22,4.0,15.0,1447000.0
PTR-00000764,BK-077,68.32,1.0,4.0,542000.0
PTR-00000777,BK-015,31.09,3.0,1.0,245000.0
PTR-00000780,BK-002,42.11,4.0,2.0,188000.0
PTR-00000785,BK-063,86.21,2.0,5.0,611000.0
PTR-00000788,BK-019,33.12,3.0,5.0,316000.0
PTR-00000791,BK-068,96.09,1.0,13.0,994000.0
PTR-00000793,BK-044,56.10,3.0,3.0,346000.0
PTR-00000796,BK-004,43.21,3.0,8.0,672000.0
PTR-00000798,BK-004,43.21,3.0,4.0,346000.0
PTR-00000832,BK-030,53.20,2.0,2.0,411000.0
PTR-00000849,BK-040,47.78,1.0,2.0,381000.0
PTR-00000856,BK-034,46.90,2.0,4.0,741000.0
PTR-00000858,BK-051,1.13,2.0,1.0,114000.0
PTR-00000900,BK-054,81.21,2.0,1.0,82000.0
PTR-00000905,BK-074,95.11,1.0,12.0,1167000.0
PTR-00000907,BK-037,47.52,2.0,2.0,226000.0
PTR-00000909,BK-063,86.21,2.0,8.0,1174000.0
PTR-00000926,BK-005,43.22,4.0,8.0,741000.0
PTR-00000982,BK-028,49.41,4.0,7.0,1327000.0
