position_id,schaden_id,art,betrag,waehrung,datum,empfaenger,beschreibung
SCH-00000110-01,SCH-00000110,RESERVE,5000.00,CHF,2019-02-19,,Erstreserve Personenschaden leicht
SCH-00000110-02,SCH-00000110,ZAHLUNG,2980.00,CHF,2019-04-12,Geschaedigte,Arztkosten und Selbstbehalt Krankenkasse
SCH-00000110-03,SCH-00000110,ZAHLUNG,1200.00,CHF,2019-05-28,Geschaedigte,Skiausruestung Zeitwert
SCH-00000110-04,SCH-00000110,RESERVE,0.00,CHF,2019-06-04,,"Reserve aufgeloest, Fall geschlossen"
SCH-00000118-01,SCH-00000118,RESERVE,2500.00,CHF,2025-05-18,,Erstreserve automatisch (MINT Triage v3)
SCH-00000118-02,SCH-00000118,ZAHLUNG,2340.00,CHF,2025-05-21,Nachbar,"Fast-Track-Zahlung nach Kostenvoranschlag, unter CHF 5'000"
SCH-00000118-03,SCH-00000118,RESERVE,0.00,CHF,2025-05-21,,Automatisch geschlossen
SCH-00000210-01,SCH-00000210,RESERVE,800.00,EUR,2023-02-07,,Erstreserve automatisch
SCH-00000210-02,SCH-00000210,ZAHLUNG,780.00,EUR,2023-02-09,Hausverwaltung,"Rechnung Schliesszylinder, Baustein Schluesselverlust"
SCH-00000210-03,SCH-00000210,RESERVE,0.00,EUR,2023-02-09,,Automatisch geschlossen
SCH-00000310-01,SCH-00000310,RESERVE,2500.00,CHF,2018-11-08,,Erstreserve Bearbeitungsschaden
SCH-00000310-02,SCH-00000310,ZAHLUNG,1900.00,CHF,2018-12-18,Geschaedigte,"Rechnung Bodenleger abzueglich Selbstbehalt CHF 500, SB vom VN eingefordert"
SCH-00000310-03,SCH-00000310,RESERVE,0.00,CHF,2018-12-20,,geschlossen
SCH-00000318-01,SCH-00000318,RESERVE,120000.00,CHF,2024-03-20,,"Erstreserve nach Besichtigung, Gutachter beauftragt"
SCH-00000318-02,SCH-00000318,KOSTEN,6800.00,CHF,2024-05-14,Gutachter,Bauschadengutachten
SCH-00000318-03,SCH-00000318,RESERVE,180000.00,CHF,2024-05-15,,Reserve nach Gutachten auf Ultimate 180'000 erhoeht
SCH-00000318-04,SCH-00000318,ZAHLUNG,95000.00,CHF,2024-09-02,STWEG Aarepark,"Teilzahlung Bauschaden, Freigabe Teamleitung Schaden CH"
SCH-00000318-05,SCH-00000318,ZAHLUNG,48600.00,CHF,2025-01-20,STWEG Aarepark,Mobiliar und Mietausfall Wohnungen 2 und 3
