vertrag_id,policennummer_anzeige,produkt_id,sparte,tarifgeneration_id,markt,waehrung,versicherungsnehmer_id,vermittler_id,kanal,sachbearbeiter_id,antrag_id,beginn,ablauf,laufzeit_jahre,hauptfaelligkeit,zahlungsweise,zahlungsart,jahrespraemie_netto,jahrespraemie_brutto,einmalpraemie,versicherungssumme,status,status_seit,storno_datum,storno_grund_code,kuendigungsfrist_monate,naechste_kuendigungsmoeglichkeit,risikoklasse_uw,mahnstufe_aktuell,herkunft,quellsystem,migriert_am,erstellt_am,bemerkung
VTR-00000101,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000001,VRM-00011,agentur,MIT-00008,ANT-00000101,2016-03-01,,,2016-03-01,VIERTELJAEHRLICH,LASTSCHRIFT,160.0,168.0,,10000000.0,AKTIV,2016-03-01,,,3.0,2026-03-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2016-02-20,"Familie, Hund"
VTR-00000102,,LV-RISK,LV,PL-2017,CH,CHF,PTR-00000001,VRM-00025,agentur,MIT-00044,ANT-00000102,2019-05-01,2032-05-01,13.0,2019-05-01,JAEHRLICH,RECHNUNG,486.0,486.0,,974000.0,AKTIV,2019-05-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2019-04-06,
VTR-00000103,,LV-RISK,LV,PL-2017,CH,CHF,PTR-00000011,VRM-00025,agentur,MIT-00044,ANT-00000103,2019-05-01,2038-05-01,19.0,2019-05-01,JAEHRLICH,RECHNUNG,612.0,612.0,,132000.0,AKTIV,2019-05-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2019-03-25,
VTR-00000104,,LV-VORS,LV,PL-2017,CH,CHF,PTR-00000001,VRM-00031,agentur,MIT-00044,ANT-00000104,2020-01-01,2050-01-01,30.0,2020-01-01,HALBJAEHRLICH,RECHNUNG,3600.0,3600.0,,109000.0,AKTIV,2020-01-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2019-12-06,Saeule 3a
VTR-00000201,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000002,VRM-00013,direkt,MIT-00008,ANT-00000201,2021-09-01,,,2021-09-01,JAEHRLICH,EBILL,53.45,63.6,,5000000.0,AKTIV,2021-09-01,,,3.0,2026-09-01,NORMAL,0,minzia,MINT,,2021-08-02,Neuabschluss nach Widerruf
VTR-00000202,,LV-RISK,LV,PZ-2025,DE,EUR,PTR-00000002,VRM-00028,direkt,MIT-00008,ANT-00000202,2025-10-01,2044-10-01,19.0,2025-10-01,JAEHRLICH,RECHNUNG,175.2,175.2,,139000.0,AKTIV,2025-10-01,,,,,NORMAL,0,minzia,MINT,,2025-09-15,
VTR-00000203,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000002,VRM-00009,direkt,MIT-00044,ANT-00000203,2021-03-15,,,2021-03-15,JAEHRLICH,LASTSCHRIFT,49.41,58.8,,20000000.0,STORNIERT,2021-03-24,2021-03-24,K13,3.0,,NORMAL,0,minzia,MINT,,2021-02-12,Widerruf innerhalb 14 Tagen
VTR-00000301,,HP-BETR,HP,HP-MODERN,CH,CHF,PTR-00000003,VRM-00017,makler,MIT-00008,ANT-00000301,2016-01-01,,,2016-01-01,JAEHRLICH,EBILL,4620.0,4851.0,,10000000.0,AKTIV,2016-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2015-11-29,Sanierung 2025
VTR-00000302,,LV-RISK,LV,PL-2017,CH,CHF,PTR-00000003,VRM-00036,makler,MIT-00044,ANT-00000302,2019-07-01,2041-07-01,22.0,2019-07-01,VIERTELJAEHRLICH,LASTSCHRIFT,2268.0,2268.0,,993000.0,AKTIV,2019-07-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2019-06-12,Kollektiv Kader
VTR-00000401,,HP-BETR,HP,HP-MODERN,DE,EUR,PTR-00000004,VRM-00010,makler,MIT-00008,ANT-00000401,2014-01-01,,,2014-01-01,JAEHRLICH,RECHNUNG,5320.52,6331.42,,5000000.0,AKTIV,2014-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2013-12-05,Nachtrag Photovoltaik 2025
VTR-00000402,,LV-RENTE,LV,PL-2017,DE,EUR,PTR-00000014,VRM-00034,makler,MIT-00019,ANT-00000402,2018-03-01,2044-03-01,26.0,2018-03-01,HALBJAEHRLICH,EBILL,4800.0,4800.0,,93000.0,AKTIV,2018-03-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2018-02-24,
VTR-00000501,,LV-VORS,LV,PK-95,CH,CHF,PTR-00000005,VRM-00026,agentur,MIT-00044,ANT-00000501,1995-07-01,2019-07-01,24.0,1995-07-01,HALBJAEHRLICH,LASTSCHRIFT,4236.0,4236.0,,135000.0,ABGELAUFEN,2019-06-09,2019-06-09,K15,,,NORMAL,0,pfefferminz,VERA,2025-11-15,1995-05-25,"Ablauf, Auszahlung 168420"
VTR-00000502,,LV-RENTE,LV,PL-2017,CH,CHF,PTR-00000005,VRM-00031,agentur,MIT-00044,ANT-00000502,2019-09-01,2024-09-01,5.0,2019-09-01,EINMALIG,RECHNUNG,0.0,0.0,150000.0,66000.0,AKTIV,2019-09-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2019-08-08,"Einmalpraemie, Rentenbezug"
VTR-00000503,,HP-PRIV,HP,HP-KLASSIK,CH,CHF,PTR-00000005,VRM-00031,agentur,MIT-00008,ANT-00000503,2001-01-01,,,2001-01-01,JAEHRLICH,LASTSCHRIFT,118.67,124.6,,5000000.0,AKTIV,2001-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2000-12-20,Altpraemie eingefroren; lautet auf beide Ehegatten
VTR-00000601,,LV-RENTE,LV,PL-2015,DE,EUR,PTR-00000006,VRM-00034,makler,MIT-00044,ANT-00000601,2016-04-01,2026-04-01,10.0,2016-04-01,JAEHRLICH,RECHNUNG,12000.0,12000.0,,1000.0,AKTIV,2016-04-01,,,,,NORMAL,0,pfefferminz,VERA,2025-11-15,2016-02-29,
VTR-00000602,,LV-RISK,LV,PZ-2025,DE,EUR,PTR-00000006,VRM-00032,makler,MIT-00044,ANT-00000602,2025-07-01,2046-07-01,21.0,2025-07-01,JAEHRLICH,RECHNUNG,2889.18,2889.18,,314000.0,AKTIV,2025-07-01,,,,,ZUSCHLAG_1,0,pfefferminz,MINT,,2025-06-02,Zuschlag 50 Prozent
VTR-00000701,,HP-PRIV,HP,HP-MODERN,CH,CHF,PTR-00000007,VRM-00014,direkt,MIT-00008,ANT-00000701,2024-09-01,,,2024-09-01,JAEHRLICH,LASTSCHRIFT,123.05,129.2,,10000000.0,GEKUENDIGT_VN,2025-12-31,2025-12-31,K01,3.0,,NORMAL,0,minzia,MINT,,2024-08-07,Wechsel Anbieter
VTR-00000702,,LV-VORS,LV,PZ-2025,CH,CHF,PTR-00000007,VRM-00017,direkt,MIT-00044,ANT-00000702,2025-02-01,2042-02-01,17.0,2025-02-01,VIERTELJAEHRLICH,RECHNUNG,1800.0,1800.0,,91000.0,AKTIV,2025-02-01,,,,,NORMAL,0,minzia,MINT,,2024-12-27,"Saeule 3a, Beitragspause 2025"
VTR-00000801,,HP-PRIV,HP,HP-MODERN,DE,EUR,PTR-00000008,VRM-00023,agentur,MIT-00019,ANT-00000801,2013-01-01,,,2013-01-01,VIERTELJAEHRLICH,RECHNUNG,110.42,131.4,,5000000.0,AKTIV,2013-01-01,,,3.0,2026-01-01,NORMAL,0,pfefferminz,HAPO,2025-05-15,2012-12-31,"Hundebaustein seit 2019, Fall Pieper"
VTR-00000901,,HP-BETR,HP,HP-MODERN,DE,EUR,PTR-00000009,VRM-00003,direkt,MIT-00008,ANT-00000901,2022-02-01,,,2022-02-01,JAEHRLICH,LASTSCHRIFT,1798.32,2140.0,,5000000.0,GEKUENDIGT_VU,2025-01-15,2025-01-15,K10,3.0,,NORMAL,0,minzia,MINT,,2022-01-15,Betrugsfall
VTR-00000902,,HP-PRIV,HP,MZ-DIRECT,DE,EUR,PTR-00000017,VRM-00019,direkt,MIT-00019,ANT-00000902,2023-05-15,,,2023-05-15,JAEHRLICH,RECHNUNG,53.45,63.6,,5000000.0,GEKUENDIGT_VU,2025-01-15,2025-01-15,K10,3.0,,NORMAL,0,pfefferminz,HAPO,2025-05-15,2023-04-13,"Betrugsfall, Dublette"
VTR-00001001,,LV-VORS,LV,PZ-2025,CH,CHF,PTR-00000010,VRM-00014,makler,MIT-00044,ANT-00001001,2025-07-01,2044-07-01,19.0,2025-07-01,EINMALIG,KREDITKARTE,0.0,0.0,450000.0,113000.0,AKTIV,2025-07-01,,,,,NORMAL,0,minzia,MINT,,2025-05-27,"Einmalpraemie 450000, AML-Pruefung"
VTR-00002001,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000862,VRM-00039,makler,MIT-00008,ANT-00002001,2025-12-01,,,2025-12-01,JAEHRLICH,RECHNUNG,124.45,130.67,,5000000.0,AKTIV,2025-12-01,,,3.0,2026-12-01,NORMAL,0,pfefferminz,MINT,,2025-11-27,
VTR-00002002,,HP-PRIV,HP,PM-2025,CH,CHF,PTR-00000510,VRM-00014,direkt,MIT-00008,ANT-00002002,2025-04-01,,,2025-04-01,JAEHRLICH,RECHNUNG,163.8,171.99,,5000000.0,AKTIV,2025-04-01,,,3.0,2026-04-01,NORMAL,0,pfefferminz,MINT,,2025-03-20,
