vertrag_id,partner_id,rolle,anteil_pct
VTR-00000101,PTR-00000001,VERSICHERUNGSNEHMER,
VTR-00000101,PTR-00000011,MITVERSICHERT,
VTR-00000101,PTR-00000019,MITVERSICHERT,
VTR-00000101,PTR-00000020,MITVERSICHERT,
VTR-00000102,PTR-00000001,VERSICHERUNGSNEHMER,
VTR-00000102,PTR-00000001,VERSICHERTE_PERSON,
VTR-00000102,PTR-00000011,BEGUENSTIGT,50.0
VTR-00000102,PTR-00000019,BEGUENSTIGT,25.0
VTR-00000102,PTR-00000020,BEGUENSTIGT,25.0
VTR-00000103,PTR-00000011,VERSICHERUNGSNEHMER,
VTR-00000103,PTR-00000011,VERSICHERTE_PERSON,
VTR-00000103,,BEGUENSTIGT_GESETZLICHE_ERBEN,100.0
VTR-00000104,PTR-00000001,VERSICHERUNGSNEHMER,
VTR-00000104,PTR-00000001,VERSICHERTE_PERSON,
VTR-00000104,PTR-00000011,BEGUENSTIGT,50.0
VTR-00000104,PTR-00000019,BEGUENSTIGT,25.0
VTR-00000104,PTR-00000020,BEGUENSTIGT,25.0
VTR-00000201,PTR-00000002,VERSICHERUNGSNEHMER,
VTR-00000202,PTR-00000002,VERSICHERUNGSNEHMER,
VTR-00000202,PTR-00000002,VERSICHERTE_PERSON,
VTR-00000202,,BEGUENSTIGT_GESETZLICHE_ERBEN,100.0
VTR-00000203,PTR-00000002,VERSICHERUNGSNEHMER,
VTR-00000301,PTR-00000003,VERSICHERUNGSNEHMER,
VTR-00000302,PTR-00000003,VERSICHERUNGSNEHMER,
VTR-00000302,PTR-00000012,VERSICHERTE_PERSON,
VTR-00000302,,BEGUENSTIGT_GESETZLICHE_ERBEN,100.0
VTR-00000401,PTR-00000004,VERSICHERUNGSNEHMER,
VTR-00000402,PTR-00000014,VERSICHERUNGSNEHMER,
VTR-00000402,PTR-00000014,VERSICHERTE_PERSON,
VTR-00000402,,BEGUENSTIGT_GESETZLICHE_ERBEN,100.0
VTR-00000501,PTR-00000005,VERSICHERUNGSNEHMER,
VTR-00000501,PTR-00000005,VERSICHERTE_PERSON,
VTR-00000501,PTR-00000015,BEGUENSTIGT,100.0
