welle,objekttyp,quellsystem,quell_id,ziel_id,zeitpunkt,ergebnis,meldung
HP-2025-Q2,PARTNER,HAPO,20000001,PTR-00000001,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000002,PTR-00000003,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000003,PTR-00000004,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000004,PTR-00000005,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000005,PTR-00000008,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000006,PTR-00000011,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000007,PTR-00000015,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000008,PTR-00000017,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000009,PTR-00000019,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000010,PTR-00000020,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000011,PTR-00000023,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000012,PTR-00000026,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000013,PTR-00000027,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000014,PTR-00000029,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000015,PTR-00000030,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000016,PTR-00000032,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000017,PTR-00000033,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000018,PTR-00000034,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000019,PTR-00000035,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000020,PTR-00000036,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000021,PTR-00000037,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000022,PTR-00000040,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000023,PTR-00000041,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000024,PTR-00000042,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000025,PTR-00000043,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000026,PTR-00000044,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000027,PTR-00000045,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000028,PTR-00000046,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000029,PTR-00000050,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000030,PTR-00000051,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000031,PTR-00000054,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000032,PTR-00000055,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000033,PTR-00000056,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000034,PTR-00000057,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000035,PTR-00000058,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000036,PTR-00000059,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000037,PTR-00000060,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000038,PTR-00000061,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000039,PTR-00000062,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000040,PTR-00000063,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000041,PTR-00000064,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000042,PTR-00000068,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000043,PTR-00000069,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000044,PTR-00000074,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000045,PTR-00000075,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000046,PTR-00000076,2025-05-15,ERROR,"Adresse nicht parsebar, Partner ohne Adresse angelegt"
HP-2025-Q2,PARTNER,HAPO,20000047,PTR-00000077,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000048,PTR-00000079,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000049,PTR-00000080,2025-05-15,ERROR,"Adresse nicht parsebar, Partner ohne Adresse angelegt"
HP-2025-Q2,PARTNER,HAPO,20000050,PTR-00000081,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000051,PTR-00000083,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000052,PTR-00000084,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000053,PTR-00000085,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000054,PTR-00000088,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000055,PTR-00000089,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000056,PTR-00000090,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000057,PTR-00000093,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000058,PTR-00000094,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000059,PTR-00000095,2025-05-15,WARN,"Geburtsdatum Platzhalter, Dummy 1900-01-01 gesetzt"
HP-2025-Q2,PARTNER,HAPO,20000060,PTR-00000097,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000061,PTR-00000098,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000062,PTR-00000104,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000063,PTR-00000105,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000064,PTR-00000106,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000065,PTR-00000107,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000066,PTR-00000108,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000067,PTR-00000116,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000068,PTR-00000117,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000069,PTR-00000118,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000070,PTR-00000121,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000071,PTR-00000123,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000072,PTR-00000124,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000073,PTR-00000125,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000074,PTR-00000126,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000075,PTR-00000127,2025-05-15,OK,Partner uebernommen
HP-2025-Q2,PARTNER,HAPO,20000076,PTR-00000128,2025-05-15,OK,Partner uebernommen
