curated_id,quellsystem,quell_id,match_methode,match_score,gueltig_von,gueltig_bis,bemerkung
PTR-00000001,HAPO,20000001,MIGRATIONSLOG,1.0,2016-03-01,2025-05-15,
PTR-00000003,HAPO,20000002,MIGRATIONSLOG,1.0,2016-01-01,2025-05-15,
PTR-00000004,HAPO,20000003,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,
PTR-00000005,HAPO,20000004,MIGRATIONSLOG,1.0,1995-07-01,2025-05-15,
PTR-00000008,HAPO,20000005,MIGRATIONSLOG,1.0,2013-01-01,2025-05-15,
PTR-00000011,HAPO,20000006,MIGRATIONSLOG,1.0,2019-05-01,2025-05-15,
PTR-00000015,HAPO,20000007,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000017,HAPO,20000008,MIGRATIONSLOG,1.0,2023-05-15,2025-05-15,
PTR-00000019,HAPO,20000009,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000020,HAPO,20000010,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000023,HAPO,20000011,MIGRATIONSLOG,1.0,2020-06-01,2025-05-15,
PTR-00000026,HAPO,20000012,MIGRATIONSLOG,1.0,2016-07-01,2025-05-15,
PTR-00000027,HAPO,20000013,MIGRATIONSLOG,1.0,2025-01-01,2025-05-15,
PTR-00000029,HAPO,20000014,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,
PTR-00000030,HAPO,20000015,MIGRATIONSLOG,1.0,2007-04-01,2025-05-15,
PTR-00000032,HAPO,20000016,MIGRATIONSLOG,1.0,2018-06-01,2025-05-15,
PTR-00000033,HAPO,20000017,MIGRATIONSLOG,1.0,2022-09-01,2025-05-15,
PTR-00000034,HAPO,20000018,MIGRATIONSLOG,1.0,2015-01-01,2025-05-15,
PTR-00000035,HAPO,20000019,MIGRATIONSLOG,1.0,2011-04-01,2025-05-15,
PTR-00000036,HAPO,20000020,MIGRATIONSLOG,1.0,2002-02-01,2025-05-15,
PTR-00000037,HAPO,20000021,MIGRATIONSLOG,1.0,2025-07-01,2025-05-15,
PTR-00000040,HAPO,20000022,MIGRATIONSLOG,1.0,2018-06-01,2025-05-15,
PTR-00000041,HAPO,20000023,MIGRATIONSLOG,1.0,2011-07-01,2025-05-15,
PTR-00000042,HAPO,20000024,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000043,HAPO,20000025,MIGRATIONSLOG,1.0,2017-07-01,2025-05-15,
PTR-00000044,HAPO,20000026,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000045,HAPO,20000027,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000046,HAPO,20000028,MIGRATIONSLOG,1.0,2025-12-01,2025-05-15,
PTR-00000050,HAPO,20000029,MIGRATIONSLOG,1.0,2016-02-01,2025-05-15,
PTR-00000051,HAPO,20000030,MIGRATIONSLOG,1.0,2025-12-01,2025-05-15,
PTR-00000054,HAPO,20000031,MIGRATIONSLOG,1.0,2013-05-01,2025-05-15,
PTR-00000055,HAPO,20000032,MIGRATIONSLOG,1.0,2016-12-01,2025-05-15,
PTR-00000056,HAPO,20000033,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000057,HAPO,20000034,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000058,HAPO,20000035,MIGRATIONSLOG,1.0,2007-10-01,2025-05-15,
PTR-00000059,HAPO,20000036,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000060,HAPO,20000037,MIGRATIONSLOG,1.0,1996-02-01,2025-05-15,
PTR-00000061,HAPO,20000038,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,
PTR-00000062,HAPO,20000039,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000063,HAPO,20000040,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000064,HAPO,20000041,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000068,HAPO,20000042,MIGRATIONSLOG,1.0,2018-12-01,2025-05-15,
PTR-00000069,HAPO,20000043,MIGRATIONSLOG,1.0,2013-08-01,2025-05-15,
PTR-00000074,HAPO,20000044,MIGRATIONSLOG,1.0,2020-04-01,2025-05-15,
PTR-00000075,HAPO,20000045,MIGRATIONSLOG,1.0,2019-11-01,2025-05-15,
PTR-00000076,HAPO,20000046,MIGRATIONSLOG,1.0,2025-07-01,2025-05-15,
PTR-00000077,HAPO,20000047,MIGRATIONSLOG,1.0,2025-10-01,2025-05-15,
PTR-00000079,HAPO,20000048,MIGRATIONSLOG,1.0,2013-09-01,2025-05-15,
PTR-00000080,HAPO,20000049,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000081,HAPO,20000050,MIGRATIONSLOG,1.0,2025-08-01,2025-05-15,
PTR-00000083,HAPO,20000051,MIGRATIONSLOG,1.0,2001-06-01,2025-05-15,
PTR-00000084,HAPO,20000052,MIGRATIONSLOG,1.0,2020-09-01,2025-05-15,
PTR-00000085,HAPO,20000053,MIGRATIONSLOG,1.0,2015-06-01,2025-05-15,
PTR-00000088,HAPO,20000054,MIGRATIONSLOG,1.0,1999-10-01,2025-05-15,
PTR-00000089,HAPO,20000055,MIGRATIONSLOG,1.0,2013-07-01,2025-05-15,
PTR-00000090,HAPO,20000056,MIGRATIONSLOG,1.0,2022-07-01,2025-05-15,
PTR-00000093,HAPO,20000057,MIGRATIONSLOG,1.0,2009-03-01,2025-05-15,
PTR-00000094,HAPO,20000058,MIGRATIONSLOG,1.0,2004-05-01,2025-05-15,
PTR-00000095,HAPO,20000059,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000097,HAPO,20000060,MIGRATIONSLOG,1.0,2015-08-01,2025-05-15,
PTR-00000098,HAPO,20000061,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000104,HAPO,20000062,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,
PTR-00000105,HAPO,20000063,MIGRATIONSLOG,1.0,2014-12-01,2025-05-15,
PTR-00000106,HAPO,20000064,MIGRATIONSLOG,1.0,2018-02-01,2025-05-15,
PTR-00000107,HAPO,20000065,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000108,HAPO,20000066,MIGRATIONSLOG,1.0,,2025-05-15,
PTR-00000116,HAPO,20000067,MIGRATIONSLOG,1.0,2001-05-01,2025-05-15,
PTR-00000117,HAPO,20000068,MIGRATIONSLOG,1.0,2005-05-01,2025-05-15,
PTR-00000118,HAPO,20000069,MIGRATIONSLOG,1.0,2010-11-01,2025-05-15,
PTR-00000121,HAPO,20000070,MIGRATIONSLOG,1.0,2013-07-01,2025-05-15,
PTR-00000123,HAPO,20000071,MIGRATIONSLOG,1.0,2020-08-01,2025-05-15,
