curated_id,quellsystem,quell_id,match_methode,match_score,gueltig_von,gueltig_bis,bemerkung
VTR-00000101,HAPO,40.000.001-3,MIGRATIONSLOG,1.0,2016-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00000301,HAPO,40.000.002-9,MIGRATIONSLOG,1.0,2016-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00000401,HAPO,40.000.003-7,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00000503,HAPO,40.000.004-5,MIGRATIONSLOG,1.0,2001-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00000801,HAPO,40.000.005-0,MIGRATIONSLOG,1.0,2013-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00000902,HAPO,40.000.006-1,MIGRATIONSLOG,1.0,2023-05-15,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002003,HAPO,40.000.007-6,MIGRATIONSLOG,1.0,2017-11-01,2025-05-15,
VTR-00002004,HAPO,40.000.008-4,MIGRATIONSLOG,1.0,2015-03-01,2025-05-15,
VTR-00002008,HAPO,40.000.009-2,MIGRATIONSLOG,1.0,2013-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002009,HAPO,40.000.010-0,MIGRATIONSLOG,1.0,2015-02-01,2025-05-15,
VTR-00002012,HAPO,40.000.011-1,MIGRATIONSLOG,1.0,2017-03-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002014,HAPO,40.000.012-6,MIGRATIONSLOG,1.0,2018-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002017,HAPO,40.000.013-4,MIGRATIONSLOG,1.0,2016-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002018,HAPO,40.000.014-2,MIGRATIONSLOG,1.0,2018-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002021,HAPO,40.000.015-8,MIGRATIONSLOG,1.0,2019-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002023,HAPO,40.000.016-3,MIGRATIONSLOG,1.0,2013-04-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002025,HAPO,40.000.017-9,MIGRATIONSLOG,1.0,2017-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002026,HAPO,40.000.018-7,MIGRATIONSLOG,1.0,2020-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002028,HAPO,40.000.019-5,MIGRATIONSLOG,1.0,2017-12-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002029,HAPO,40.000.020-5,MIGRATIONSLOG,1.0,2012-03-01,2025-05-15,
VTR-00002030,HAPO,40.000.021-0,MIGRATIONSLOG,1.0,2017-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002038,HAPO,40.000.022-1,MIGRATIONSLOG,1.0,2016-08-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002042,HAPO,40.000.023-6,MIGRATIONSLOG,1.0,2016-10-01,2025-05-15,
VTR-00002043,HAPO,40.000.024-4,MIGRATIONSLOG,1.0,2015-11-01,2025-05-15,
VTR-00002045,HAPO,40.000.025-2,MIGRATIONSLOG,1.0,2017-03-01,2025-05-15,
VTR-00002046,HAPO,40.000.026-8,MIGRATIONSLOG,1.0,2018-03-01,2025-05-15,
VTR-00002048,HAPO,40.000.027-3,MIGRATIONSLOG,1.0,2007-08-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002050,HAPO,40.000.028-9,MIGRATIONSLOG,1.0,2014-01-01,2025-05-15,
VTR-00002051,HAPO,40.000.029-7,MIGRATIONSLOG,1.0,2016-11-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002052,HAPO,40.000.030-2,MIGRATIONSLOG,1.0,2016-01-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002054,HAPO,40.000.031-8,MIGRATIONSLOG,1.0,2017-08-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002055,HAPO,40.000.032-3,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002057,HAPO,40.000.033-9,MIGRATIONSLOG,1.0,2015-08-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002058,HAPO,40.000.034-7,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002059,HAPO,40.000.035-5,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,
VTR-00002063,HAPO,40.000.036-0,MIGRATIONSLOG,1.0,2016-05-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002064,HAPO,40.000.037-1,MIGRATIONSLOG,1.0,2014-03-01,2025-05-15,
VTR-00002065,HAPO,40.000.038-6,MIGRATIONSLOG,1.0,2019-10-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002066,HAPO,40.000.039-4,MIGRATIONSLOG,1.0,2014-09-01,2025-05-15,
VTR-00002067,HAPO,40.000.040-3,MIGRATIONSLOG,1.0,2020-12-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002069,HAPO,40.000.041-9,MIGRATIONSLOG,1.0,2018-10-01,2025-05-15,
VTR-00002074,HAPO,40.000.042-7,MIGRATIONSLOG,1.0,2017-07-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002078,HAPO,40.000.043-5,MIGRATIONSLOG,1.0,2012-02-01,2025-05-15,Migrationsstorno ZZ im Altsystem
VTR-00002079,HAPO,40.000.044-0,MIGRATIONSLOG,1.0,2017-06-01,2025-05-15,Migrationsstorno ZZ im Altsystem
