plz,ort,kanton,sprachregion,einwohner,gewicht,tarifzone,urbanitaet
1003,Lausanne,VD,fr,140000,140.0,1,STADT
1009,Pully,VD,fr,18000,18.0,2,AGGLO
1020,Renens VD,VD,fr,21000,21.0,2,AGGLO
1023,Crissier,VD,fr,8000,8.0,2,LAND
1025,St-Sulpice VD,VD,fr,4000,4.0,2,LAND
1030,Bussigny,VD,fr,9000,9.0,2,LAND
1040,Echallens,VD,fr,6000,6.0,2,LAND
1052,Le Mont-sur-Lausanne,VD,fr,9000,9.0,2,LAND
1066,Epalinges,VD,fr,10000,10.0,2,AGGLO
1110,Morges,VD,fr,16000,16.0,2,AGGLO
1180,Rolle,VD,fr,6000,6.0,2,LAND
1196,Gland,VD,fr,13000,13.0,2,AGGLO
1201,Genève,GE,fr,200000,200.0,1,STADT
1205,Genève,GE,fr,30000,30.0,1,STADT
1207,Genève,GE,fr,25000,25.0,1,STADT
1212,Grand-Lancy,GE,fr,33000,33.0,1,AGGLO
1213,Onex,GE,fr,19000,19.0,1,AGGLO
1214,Vernier,GE,fr,35000,35.0,1,AGGLO
1217,Meyrin,GE,fr,25000,25.0,1,AGGLO
1218,Le Grand-Saconnex,GE,fr,12000,12.0,1,AGGLO
1224,Chêne-Bougeries,GE,fr,12000,12.0,1,AGGLO
1226,Thônex,GE,fr,15000,15.0,1,AGGLO
1227,Carouge GE,GE,fr,22000,22.0,1,AGGLO
1228,Plan-les-Ouates,GE,fr,11000,11.0,1,AGGLO
1245,Collonge-Bellerive,GE,fr,8000,8.0,1,LAND
1260,Nyon,VD,fr,21000,21.0,2,AGGLO
1290,Versoix,GE,fr,13000,13.0,1,AGGLO
1315,La Sarraz,VD,fr,2500,2.5,2,LAND
1337,Vallorbe,VD,fr,3500,3.5,2,LAND
1350,Orbe,VD,fr,7000,7.0,2,LAND
1400,Yverdon-les-Bains,VD,fr,30000,30.0,2,AGGLO
1450,Sainte-Croix,VD,fr,4500,4.5,2,LAND
1470,Estavayer-le-Lac,FR,fr,6000,6.0,2,LAND
1510,Moudon,VD,fr,6000,6.0,2,LAND
1530,Payerne,VD,fr,10000,10.0,2,AGGLO
1618,Châtel-St-Denis,FR,fr,7000,7.0,2,LAND
1630,Bulle,FR,fr,24000,24.0,2,AGGLO
1680,Romont FR,FR,fr,5000,5.0,2,LAND
1700,Fribourg,FR,fr,40000,40.0,2,AGGLO
1712,Tafers,FR,de,3000,3.0,2,LAND
1762,Givisiez,FR,fr,3000,3.0,2,LAND
1800,Vevey,VD,fr,20000,20.0,2,AGGLO
1820,Montreux,VD,fr,26000,26.0,2,AGGLO
1854,Leysin,VD,fr,4000,4.0,2,LAND
1860,Aigle,VD,fr,10000,10.0,2,AGGLO
1868,Collombey,VS,fr,9000,9.0,3,LAND
1870,Monthey,VS,fr,18000,18.0,3,AGGLO
1890,St-Maurice,VS,fr,4500,4.5,3,LAND
1907,Saxon,VS,fr,6000,6.0,3,LAND
1920,Martigny,VS,fr,18000,18.0,3,AGGLO
1936,Verbier,VS,fr,3000,3.0,3,LAND
1950,Sion,VS,fr,35000,35.0,3,AGGLO
1963,Vétroz,VS,fr,6000,6.0,3,LAND
1997,Haute-Nendaz,VS,fr,3000,3.0,3,LAND
2000,Neuchâtel,NE,fr,45000,45.0,2,AGGLO
2013,Colombier NE,NE,fr,5500,5.5,2,LAND
2034,Peseux,NE,fr,6000,6.0,2,LAND
2074,Marin-Epagnier,NE,fr,6000,6.0,2,LAND
2114,Fleurier,NE,fr,4000,4.0,2,LAND
2300,La Chaux-de-Fonds,NE,fr,37000,37.0,2,AGGLO
2350,Saignelégier,JU,fr,2500,2.5,3,LAND
2400,Le Locle,NE,fr,10000,10.0,2,AGGLO
2500,Biel/Bienne,BE,de,55000,55.0,1,STADT
2525,Le Landeron,NE,fr,4500,4.5,2,LAND
2540,Grenchen,SO,de,17000,42.5,2,AGGLO
2544,Bettlach,SO,de,5000,12.5,2,LAND
2610,Saint-Imier,BE,fr,5000,5.0,2,LAND
2740,Moutier,BE,fr,7000,7.0,2,LAND
2800,Delémont,JU,fr,12000,12.0,3,AGGLO
2822,Courroux,JU,fr,3000,3.0,3,LAND
2830,Courrendlin,JU,fr,3000,3.0,3,LAND
2854,Bassecourt,JU,fr,3500,3.5,3,LAND
2900,Porrentruy,JU,fr,7000,7.0,3,LAND
2926,Boncourt,JU,fr,1200,1.2,3,LAND
3000,Bern,BE,de,135000,135.0,1,STADT
3012,Bern,BE,de,25000,25.0,1,STADT
3014,Bern,BE,de,20000,20.0,1,STADT
3053,Münchenbuchsee,BE,de,10000,10.0,2,AGGLO
3072,Ostermundigen,BE,de,18000,18.0,2,AGGLO
3098,Köniz,BE,de,42000,42.0,2,AGGLO
3110,Münsingen,BE,de,13000,13.0,2,AGGLO
3123,Belp,BE,de,12000,12.0,2,AGGLO
3175,Flamatt,FR,de,3000,3.0,2,LAND
3186,Düdingen,FR,de,8000,8.0,2,LAND
3250,Lyss,BE,de,15000,15.0,2,AGGLO
3270,Aarberg,BE,de,5000,5.0,2,LAND
3280,Murten,FR,de,8000,8.0,2,LAND
3400,Burgdorf,BE,de,17000,17.0,2,AGGLO
3550,Langnau im Emmental,BE,de,10000,10.0,2,AGGLO
3600,Thun,BE,de,45000,45.0,2,AGGLO
3612,Steffisburg,BE,de,16000,16.0,2,AGGLO
3627,Heimberg,BE,de,7000,7.0,2,LAND
3700,Spiez,BE,de,13000,13.0,2,AGGLO
3714,Frutigen,BE,de,7000,7.0,2,LAND
3780,Gstaad,BE,de,3000,3.0,2,LAND
3800,Interlaken,BE,de,6000,6.0,2,LAND
3818,Grindelwald,BE,de,4000,4.0,2,LAND
3860,Meiringen,BE,de,5000,5.0,2,LAND
3900,Brig,VS,de,13000,13.0,3,AGGLO
3904,Naters,VS,de,10000,10.0,3,AGGLO
3906,Saas-Fee,VS,de,1500,1.5,3,LAND
3920,Zermatt,VS,de,6000,6.0,3,LAND
3930,Visp,VS,de,8000,8.0,3,LAND
3954,Leukerbad,VS,de,1500,1.5,3,LAND
3960,Sierre,VS,fr,17000,17.0,3,AGGLO
4051,Basel,BS,de,175000,175.0,1,STADT
4053,Basel,BS,de,30000,30.0,1,STADT
4058,Basel,BS,de,25000,25.0,1,STADT
4102,Binningen,BL,de,16000,16.0,2,AGGLO
4104,Oberwil BL,BL,de,11000,11.0,2,AGGLO
4123,Allschwil,BL,de,21000,21.0,2,AGGLO
4125,Riehen,BS,de,21000,21.0,1,AGGLO
4126,Bettingen,BS,de,1000,1.0,1,LAND
4127,Birsfelden,BL,de,10000,10.0,2,AGGLO
4132,Muttenz,BL,de,18000,18.0,2,AGGLO
4133,Pratteln,BL,de,17000,17.0,2,AGGLO
4142,Münchenstein,BL,de,12000,12.0,2,AGGLO
4143,Dornach,SO,de,7000,17.5,2,LAND
4153,Reinach BL,BL,de,19000,19.0,2,AGGLO
4226,Breitenbach,SO,de,4000,10.0,2,LAND
4242,Laufen,BL,de,6000,6.0,2,LAND
4310,Rheinfelden,AG,de,13000,13.0,2,AGGLO
4402,Frenkendorf,BL,de,6000,6.0,2,LAND
4410,Liestal,BL,de,15000,15.0,2,AGGLO
4415,Lausen,BL,de,5000,5.0,2,LAND
4450,Sissach,BL,de,7000,7.0,2,LAND
4460,Gelterkinden,BL,de,6000,6.0,2,LAND
4500,Solothurn,SO,de,17000,42.5,2,AGGLO
4513,Langendorf,SO,de,4000,10.0,2,LAND
4528,Zuchwil,SO,de,9000,22.5,2,LAND
4542,Luterbach,SO,de,4000,10.0,2,LAND
4553,Subingen,SO,de,3000,7.5,2,LAND
4562,Biberist,SO,de,8000,20.0,2,LAND
4563,Gerlafingen,SO,de,5000,12.5,2,LAND
4600,Olten,SO,de,19000,47.5,2,AGGLO
4612,Wangen bei Olten,SO,de,5000,12.5,2,LAND
4614,Hägendorf,SO,de,5000,12.5,2,LAND
4616,Kappel SO,SO,de,3000,7.5,2,LAND
4617,Gunzgen,SO,de,2000,5.0,2,LAND
4622,Egerkingen,SO,de,3000,7.5,2,LAND
4623,Neuendorf,SO,de,2000,5.0,2,LAND
4625,Oberbuchsiten,SO,de,2000,5.0,2,LAND
4629,Fulenbach,SO,de,1500,3.75,2,LAND
4632,Trimbach,SO,de,7000,17.5,2,LAND
4653,Obergösgen,SO,de,2000,5.0,2,LAND
4654,Lostorf,SO,de,4000,10.0,2,LAND
4655,Stüsslingen,SO,de,1000,2.5,2,LAND
4656,Starrkirch-Wil,SO,de,1500,3.75,2,LAND
4657,Dulliken,SO,de,5000,12.5,2,LAND
4658,Däniken SO,SO,de,3000,7.5,2,LAND
4663,Aarburg,AG,de,8000,8.0,2,LAND
4665,Oftringen,AG,de,14000,14.0,2,AGGLO
4702,Oensingen,SO,de,6000,15.0,2,LAND
4710,Balsthal,SO,de,6000,15.0,2,LAND
4800,Zofingen,AG,de,12000,12.0,2,AGGLO
4802,Strengelbach,AG,de,5000,5.0,2,LAND
4852,Rothrist,AG,de,9000,9.0,2,LAND
4900,Langenthal,BE,de,16000,16.0,2,AGGLO
4950,Huttwil,BE,de,5000,5.0,2,LAND
5000,Aarau,AG,de,21000,21.0,2,AGGLO
5012,Schönenwerd,SO,de,4000,10.0,2,LAND
5013,Niedergösgen,SO,de,4000,10.0,2,LAND
5015,Erlinsbach SO,SO,de,3000,7.5,2,LAND
5033,Buchs AG,AG,de,8000,8.0,2,LAND
5036,Oberentfelden,AG,de,8000,8.0,2,LAND
5070,Frick,AG,de,6000,6.0,2,LAND
5080,Laufenburg,AG,de,4000,4.0,2,LAND
5200,Brugg AG,AG,de,12000,12.0,2,AGGLO
5330,Bad Zurzach,AG,de,4000,4.0,2,LAND
5400,Baden,AG,de,20000,20.0,2,AGGLO
5430,Wettingen,AG,de,21000,21.0,2,AGGLO
5507,Mellingen,AG,de,6000,6.0,2,LAND
5600,Lenzburg,AG,de,11000,11.0,2,AGGLO
5610,Wohlen AG,AG,de,17000,17.0,2,AGGLO
5620,Bremgarten AG,AG,de,8000,8.0,2,LAND
5630,Muri AG,AG,de,8000,8.0,2,LAND
5643,Sins,AG,de,4000,4.0,2,LAND
5722,Gränichen,AG,de,8000,8.0,2,LAND
5734,Reinach AG,AG,de,9000,9.0,2,LAND
6003,Luzern,LU,de,82000,82.0,1,STADT
6004,Luzern,LU,de,20000,20.0,1,STADT
6005,Luzern,LU,de,15000,15.0,1,STADT
6010,Kriens,LU,de,28000,28.0,2,AGGLO
6020,Emmenbrücke,LU,de,32000,32.0,2,AGGLO
6030,Ebikon,LU,de,14000,14.0,2,AGGLO
6048,Horw,LU,de,14000,14.0,2,AGGLO
6052,Hergiswil NW,NW,de,6000,6.0,3,LAND
6060,Sarnen,OW,de,10000,10.0,3,AGGLO
6072,Sachseln,OW,de,5000,5.0,3,LAND
6110,Wolhusen,LU,de,4000,4.0,2,LAND
6130,Willisau,LU,de,8000,8.0,2,LAND
6210,Sursee,LU,de,10000,10.0,2,AGGLO
6260,Reiden,LU,de,7000,7.0,2,LAND
6280,Hochdorf,LU,de,10000,10.0,2,AGGLO
6300,Zug,ZG,de,30000,30.0,1,AGGLO
6312,Steinhausen,ZG,de,10000,10.0,1,AGGLO
6314,Unterägeri,ZG,de,9000,9.0,1,LAND
6330,Cham,ZG,de,17000,17.0,1,AGGLO
6340,Baar,ZG,de,25000,25.0,1,AGGLO
6343,Rotkreuz,ZG,de,12000,12.0,1,AGGLO
6362,Stansstad,NW,de,5000,5.0,3,LAND
6370,Stans,NW,de,8000,8.0,3,LAND
6374,Buochs,NW,de,6000,6.0,3,LAND
6390,Engelberg,OW,de,4000,4.0,3,LAND
6410,Goldau,SZ,de,8000,8.0,2,LAND
6430,Schwyz,SZ,de,15000,15.0,2,AGGLO
6440,Brunnen,SZ,de,8000,8.0,2,LAND
6454,Flüelen,UR,de,2000,2.0,3,LAND
6460,Altdorf UR,UR,de,10000,10.0,3,AGGLO
6472,Erstfeld,UR,de,4000,4.0,3,LAND
6490,Andermatt,UR,de,1500,1.5,3,LAND
6500,Bellinzona,TI,it,44000,44.0,2,AGGLO
6592,Sant'Antonino,TI,it,2500,2.5,2,LAND
6600,Locarno,TI,it,16000,16.0,2,AGGLO
6612,Ascona,TI,it,5000,5.0,2,LAND
6614,Brissago,TI,it,2000,2.0,2,LAND
6710,Biasca,TI,it,6000,6.0,2,LAND
6828,Balerna,TI,it,3500,3.5,2,LAND
6830,Chiasso,TI,it,8000,8.0,2,LAND
6850,Mendrisio,TI,it,15000,15.0,2,AGGLO
6900,Lugano,TI,it,63000,63.0,1,STADT
6928,Manno,TI,it,1300,1.3,2,LAND
6942,Savosa,TI,it,2000,2.0,2,LAND
6982,Agno,TI,it,4000,4.0,2,LAND
7000,Chur,GR,de,37000,37.0,3,AGGLO
7013,Domat/Ems,GR,de,8000,8.0,3,LAND
7050,Arosa,GR,de,3000,3.0,3,LAND
7130,Ilanz,GR,de,5000,5.0,3,LAND
7220,Schiers,GR,de,3000,3.0,3,LAND
7270,Davos Platz,GR,de,11000,11.0,3,AGGLO
7302,Landquart,GR,de,9000,9.0,3,LAND
7310,Bad Ragaz,SG,de,6000,6.0,2,LAND
7320,Sargans,SG,de,6000,6.0,2,LAND
7402,Bonaduz,GR,de,3000,3.0,3,LAND
7430,Thusis,GR,de,3000,3.0,3,LAND
7500,St. Moritz,GR,de,5000,5.0,3,LAND
7550,Scuol,GR,de,5000,5.0,3,LAND
7742,Poschiavo,GR,it,3000,3.0,3,LAND
8001,Zürich,ZH,de,420000,420.0,1,STADT
8004,Zürich,ZH,de,30000,30.0,1,STADT
8005,Zürich,ZH,de,15000,15.0,1,STADT
8032,Zürich,ZH,de,20000,20.0,1,STADT
8050,Zürich,ZH,de,35000,35.0,1,STADT
8057,Zürich,ZH,de,25000,25.0,1,STADT
8105,Regensdorf,ZH,de,18000,18.0,2,AGGLO
8134,Adliswil,ZH,de,19000,19.0,2,AGGLO
8153,Rümlang,ZH,de,8000,8.0,2,LAND
8180,Bülach,ZH,de,22000,22.0,2,AGGLO
8200,Schaffhausen,SH,de,37000,37.0,2,AGGLO
8212,Neuhausen am Rheinfall,SH,de,11000,11.0,2,AGGLO
8240,Thayngen,SH,de,5000,5.0,2,LAND
8260,Stein am Rhein,SH,de,3000,3.0,2,LAND
8266,Steckborn,TG,de,4000,4.0,2,LAND
8280,Kreuzlingen,TG,de,22000,22.0,2,AGGLO
8302,Kloten,ZH,de,21000,21.0,2,AGGLO
8304,Wallisellen,ZH,de,16000,16.0,2,AGGLO
8330,Pfäffikon ZH,ZH,de,12000,12.0,2,AGGLO
8340,Hinwil,ZH,de,11000,11.0,2,AGGLO
8353,Elgg,ZH,de,5000,5.0,2,LAND
8355,Aadorf,TG,de,9000,9.0,2,LAND
8360,Eschlikon,TG,de,4000,4.0,2,LAND
8400,Winterthur,ZH,de,115000,115.0,1,STADT
8408,Winterthur,ZH,de,20000,20.0,1,STADT
8500,Frauenfeld,TG,de,26000,26.0,2,AGGLO
8570,Weinfelden,TG,de,11000,11.0,2,AGGLO
8580,Amriswil,TG,de,14000,14.0,2,AGGLO
8590,Romanshorn,TG,de,11000,11.0,2,AGGLO
8600,Dübendorf,ZH,de,30000,30.0,2,AGGLO
8600,Dübendorf Gfenn,ZH,de,2000,2.0,2,LAND
8604,Volketswil,ZH,de,19000,19.0,2,AGGLO
8610,Uster,ZH,de,35000,35.0,2,AGGLO
8620,Wetzikon,ZH,de,25000,25.0,2,AGGLO
8630,Rüti ZH,ZH,de,12000,12.0,2,AGGLO
8640,Rapperswil-Jona,SG,de,27000,27.0,2,AGGLO
8700,Küsnacht,ZH,de,14000,14.0,2,AGGLO
8708,Männedorf,ZH,de,11000,11.0,2,AGGLO
8712,Stäfa,ZH,de,15000,15.0,2,AGGLO
8730,Uznach,SG,de,6000,6.0,2,LAND
8750,Glarus,GL,de,12000,12.0,3,AGGLO
8752,Näfels,GL,de,4000,4.0,3,LAND
8762,Schwanden GL,GL,de,2000,2.0,3,LAND
8800,Thalwil,ZH,de,18000,18.0,2,AGGLO
8808,Pfäffikon SZ,SZ,de,8000,8.0,2,LAND
8810,Horgen,ZH,de,23000,23.0,2,AGGLO
8820,Wädenswil,ZH,de,24000,24.0,2,AGGLO
8832,Wollerau,SZ,de,7000,7.0,2,LAND
8840,Einsiedeln,SZ,de,16000,16.0,2,AGGLO
8853,Lachen SZ,SZ,de,9000,9.0,2,LAND
8880,Walenstadt,SG,de,6000,6.0,2,LAND
8910,Affoltern am Albis,ZH,de,12000,12.0,2,AGGLO
8952,Schlieren,ZH,de,20000,20.0,2,AGGLO
8953,Dietikon,ZH,de,28000,28.0,2,AGGLO
8965,Berikon,AG,de,5000,5.0,2,LAND
9000,St. Gallen,SG,de,76000,76.0,1,STADT
9043,Trogen,AR,de,2000,2.0,3,LAND
9050,Appenzell,AI,de,6000,6.0,3,LAND
9053,Teufen AR,AR,de,6000,6.0,3,LAND
9100,Herisau,AR,de,16000,16.0,3,AGGLO
9108,Gonten,AI,de,1500,1.5,3,LAND
9200,Gossau SG,SG,de,18000,18.0,2,AGGLO
9230,Flawil,SG,de,10000,10.0,2,AGGLO
9240,Uzwil,SG,de,13000,13.0,2,AGGLO
9320,Arbon,TG,de,15000,15.0,2,AGGLO
9400,Rorschach,SG,de,9000,9.0,2,LAND
9410,Heiden,AR,de,4000,4.0,3,LAND
9430,St. Margrethen,SG,de,6000,6.0,2,LAND
9450,Altstätten SG,SG,de,12000,12.0,2,AGGLO
9470,Buchs SG,SG,de,13000,13.0,2,AGGLO
9500,Wil SG,SG,de,24000,24.0,2,AGGLO
9542,Münchwilen TG,TG,de,5000,5.0,2,LAND
9630,Wattwil,SG,de,9000,9.0,2,LAND
