plz,ort,bundesland_kuerzel,bundesland,einwohner,gewicht,tarifzone,urbanitaet
01067,Dresden,SN,Sachsen,150000,150,2,STADT
01097,Dresden,SN,Sachsen,120000,120,2,STADT
01159,Dresden,SN,Sachsen,100000,100,2,STADT
01219,Dresden,SN,Sachsen,100000,100,2,STADT
01309,Dresden,SN,Sachsen,90000,90,2,STADT
01445,Radebeul,SN,Sachsen,34000,34,3,AGGLO
01587,Riesa,SN,Sachsen,30000,30,3,AGGLO
01662,Meißen,SN,Sachsen,28000,28,3,AGGLO
01796,Pirna,SN,Sachsen,38000,38,3,AGGLO
01855,Sebnitz,SN,Sachsen,9000,9,3,LAND
01877,Bischofswerda,SN,Sachsen,11000,11,3,AGGLO
01917,Kamenz,SN,Sachsen,15000,15,3,AGGLO
01968,Senftenberg,BB,Brandenburg,24000,24,3,AGGLO
02625,Bautzen,SN,Sachsen,38000,38,3,AGGLO
02763,Zittau,SN,Sachsen,25000,25,3,AGGLO
02826,Görlitz,SN,Sachsen,56000,56,3,AGGLO
02977,Hoyerswerda,SN,Sachsen,32000,32,3,AGGLO
03046,Cottbus,BB,Brandenburg,100000,100,2,STADT
03172,Guben,BB,Brandenburg,17000,17,3,AGGLO
03222,Lübbenau/Spreewald,BB,Brandenburg,16000,16,3,AGGLO
03238,Finsterwalde,BB,Brandenburg,16000,16,3,AGGLO
04103,Leipzig,SN,Sachsen,150000,150,2,STADT
04155,Leipzig,SN,Sachsen,120000,120,2,STADT
04229,Leipzig,SN,Sachsen,110000,110,2,STADT
04275,Leipzig,SN,Sachsen,100000,100,2,STADT
04315,Leipzig,SN,Sachsen,90000,90,2,STADT
04357,Leipzig,SN,Sachsen,80000,80,2,STADT
04416,Markkleeberg,SN,Sachsen,25000,25,3,AGGLO
04509,Delitzsch,SN,Sachsen,25000,25,3,AGGLO
04552,Borna,SN,Sachsen,19000,19,3,AGGLO
04600,Altenburg,TH,Thüringen,31000,31,3,AGGLO
04720,Döbeln,SN,Sachsen,24000,24,3,AGGLO
04808,Wurzen,SN,Sachsen,16000,16,3,AGGLO
04838,Eilenburg,SN,Sachsen,16000,16,3,AGGLO
04910,Elsterwerda,BB,Brandenburg,8000,8,3,LAND
06108,Halle (Saale),ST,Sachsen-Anhalt,130000,130,2,STADT
06120,Halle (Saale),ST,Sachsen-Anhalt,100000,100,2,STADT
06217,Merseburg,ST,Sachsen-Anhalt,33000,33,3,AGGLO
06295,Lutherstadt Eisleben,ST,Sachsen-Anhalt,22000,22,3,AGGLO
06366,Köthen (Anhalt),ST,Sachsen-Anhalt,25000,25,3,AGGLO
06406,Bernburg (Saale),ST,Sachsen-Anhalt,32000,32,3,AGGLO
06449,Aschersleben,ST,Sachsen-Anhalt,26000,26,3,AGGLO
06484,Quedlinburg,ST,Sachsen-Anhalt,24000,24,3,AGGLO
06526,Sangerhausen,ST,Sachsen-Anhalt,26000,26,3,AGGLO
06618,Naumburg (Saale),ST,Sachsen-Anhalt,32000,32,3,AGGLO
06712,Zeitz,ST,Sachsen-Anhalt,27000,27,3,AGGLO
06766,Bitterfeld-Wolfen,ST,Sachsen-Anhalt,38000,38,3,AGGLO
06844,Dessau-Roßlau,ST,Sachsen-Anhalt,79000,79,3,AGGLO
06886,Lutherstadt Wittenberg,ST,Sachsen-Anhalt,45000,45,3,AGGLO
07318,Saalfeld/Saale,TH,Thüringen,29000,29,3,AGGLO
07356,Bad Lobenstein,TH,Thüringen,6000,6,3,LAND
07407,Rudolstadt,TH,Thüringen,24000,24,3,AGGLO
07545,Gera,TH,Thüringen,93000,93,3,AGGLO
07607,Eisenberg,TH,Thüringen,11000,11,3,AGGLO
07743,Jena,TH,Thüringen,110000,110,2,STADT
07907,Schleiz,TH,Thüringen,8000,8,3,LAND
07973,Greiz,TH,Thüringen,20000,20,3,AGGLO
08056,Zwickau,SN,Sachsen,88000,88,3,AGGLO
08209,Auerbach/Vogtland,SN,Sachsen,18000,18,3,AGGLO
08280,Aue-Bad Schlema,SN,Sachsen,20000,20,3,AGGLO
08371,Glauchau,SN,Sachsen,22000,22,3,AGGLO
08523,Plauen,SN,Sachsen,64000,64,3,AGGLO
09111,Chemnitz,SN,Sachsen,150000,150,2,STADT
09112,Chemnitz,SN,Sachsen,90000,90,2,STADT
09217,Burgstädt,SN,Sachsen,11000,11,3,AGGLO
09306,Rochlitz,SN,Sachsen,6000,6,3,LAND
09405,Zschopau,SN,Sachsen,9000,9,3,LAND
09456,Annaberg-Buchholz,SN,Sachsen,20000,20,3,AGGLO
09496,Marienberg,SN,Sachsen,17000,17,3,AGGLO
09599,Freiberg,SN,Sachsen,40000,40,3,AGGLO
09648,Mittweida,SN,Sachsen,14000,14,3,AGGLO
10115,Berlin,BE,Berlin,90000,90,1,STADT
10178,Berlin,BE,Berlin,80000,80,1,STADT
10245,Berlin,BE,Berlin,120000,120,1,STADT
10405,Berlin,BE,Berlin,110000,110,1,STADT
10585,Berlin,BE,Berlin,100000,100,1,STADT
10707,Berlin,BE,Berlin,90000,90,1,STADT
10823,Berlin,BE,Berlin,100000,100,1,STADT
10961,Berlin,BE,Berlin,110000,110,1,STADT
