strasse,sprache,typ,generisch
Ahornstrasse,de-CH,Strasse,false
Ahornweg,de-CH,Weg,false
Ahorngasse,de-CH,Gasse,false
Ahornplatz,de-CH,Platz,false
Ahornrain,de-CH,Rain,false
Ahornhalde,de-CH,Halde,false
Ahornmatte,de-CH,Matte,false
Ahornacker,de-CH,Acker,false
Ahornhof,de-CH,Hof,false
Ahornring,de-CH,Ring,false
Ahornsteig,de-CH,Steig,false
Birkenstrasse,de-CH,Strasse,false
Birkenweg,de-CH,Weg,false
Birkengasse,de-CH,Gasse,false
Birkenplatz,de-CH,Platz,false
Birkenrain,de-CH,Rain,false
Birkenhalde,de-CH,Halde,false
Birkenmatte,de-CH,Matte,false
Birkenacker,de-CH,Acker,false
Birkenhof,de-CH,Hof,false
Birkenring,de-CH,Ring,false
Birkensteig,de-CH,Steig,false
Lindenstrasse,de-CH,Strasse,false
Lindenweg,de-CH,Weg,false
Lindengasse,de-CH,Gasse,false
Lindenplatz,de-CH,Platz,false
Lindenrain,de-CH,Rain,false
Lindenhalde,de-CH,Halde,false
Lindenmatte,de-CH,Matte,false
Lindenacker,de-CH,Acker,false
Lindenhof,de-CH,Hof,false
Lindenring,de-CH,Ring,false
Lindensteig,de-CH,Steig,false
Rosenstrasse,de-CH,Strasse,false
Rosenweg,de-CH,Weg,false
Rosengasse,de-CH,Gasse,false
Rosenplatz,de-CH,Platz,false
Rosenrain,de-CH,Rain,false
Rosenhalde,de-CH,Halde,false
Rosenmatte,de-CH,Matte,false
Rosenacker,de-CH,Acker,false
Rosenhof,de-CH,Hof,false
Rosenring,de-CH,Ring,false
Rosensteig,de-CH,Steig,false
Tannenstrasse,de-CH,Strasse,false
Tannenweg,de-CH,Weg,false
Tannengasse,de-CH,Gasse,false
Tannenplatz,de-CH,Platz,false
Tannenrain,de-CH,Rain,false
Tannenhalde,de-CH,Halde,false
Tannenmatte,de-CH,Matte,false
Tannenacker,de-CH,Acker,false
Tannenhof,de-CH,Hof,false
Tannenring,de-CH,Ring,false
Tannensteig,de-CH,Steig,false
Buchenstrasse,de-CH,Strasse,false
Buchenweg,de-CH,Weg,false
Buchengasse,de-CH,Gasse,false
Buchenplatz,de-CH,Platz,false
Buchenrain,de-CH,Rain,false
Buchenhalde,de-CH,Halde,false
Buchenmatte,de-CH,Matte,false
Buchenacker,de-CH,Acker,false
Buchenhof,de-CH,Hof,false
Buchenring,de-CH,Ring,false
Buchensteig,de-CH,Steig,false
Eichenstrasse,de-CH,Strasse,false
