produkt,markt,deckungsart,betrag,waehrung,standard,generationen,anteil_bestand_pct,bemerkung
HP-PRIV,CH,personen_sach,3000000.00,CHF,nein,HP-KLASSIK,6.0,nur Altbestand
HP-PRIV,CH,personen_sach,5000000.00,CHF,ja,HP-KLASSIK;HP-MODERN;MZ-DIRECT;PM-2025,68.0,Standard
HP-PRIV,CH,personen_sach,10000000.00,CHF,nein,HP-MODERN;MZ-DIRECT;PM-2025,26.0,MZ-DIRECT: Standard 10 Mio.
HP-PRIV,CH,vermoegen,50000.00,CHF,nein,HP-KLASSIK,6.0,"Sublimit reine Vermögensschäden, Altbestand"
HP-PRIV,CH,vermoegen,100000.00,CHF,ja,HP-MODERN;MZ-DIRECT;PM-2025,94.0,Sublimit reine Vermögensschäden
HP-PRIV,DE,personen_sach,3000000.00,EUR,nein,HP-KLASSIK,5.0,nur Altbestand
HP-PRIV,DE,personen_sach,5000000.00,EUR,ja,HP-KLASSIK;HP-MODERN;MZ-DIRECT;PM-2025,28.0,Standard Basis
HP-PRIV,DE,personen_sach,10000000.00,EUR,nein,HP-MODERN;MZ-DIRECT;PM-2025,33.0,Standard Komfort/MZ-DIRECT
HP-PRIV,DE,personen_sach,20000000.00,EUR,nein,HP-MODERN;MZ-DIRECT;PM-2025,20.0,
HP-PRIV,DE,personen_sach,50000000.00,EUR,nein,MZ-DIRECT;PM-2025,14.0,Premium; Maximalkapazität
HP-PRIV,DE,vermoegen,50000.00,EUR,nein,HP-KLASSIK,5.0,Altbestand
HP-PRIV,DE,vermoegen,100000.00,EUR,ja,HP-MODERN;MZ-DIRECT;PM-2025,60.0,Basis
HP-PRIV,DE,vermoegen,500000.00,EUR,nein,MZ-DIRECT;PM-2025,35.0,Premium
HP-BETR,CH,personen_sach,3000000.00,CHF,nein,HP-KLASSIK,5.0,nur Altbestand
HP-BETR,CH,personen_sach,5000000.00,CHF,ja,HP-KLASSIK;HP-MODERN;PM-2025,70.0,Standard; Jahresmaximum 2-fach
HP-BETR,CH,personen_sach,10000000.00,CHF,nein,HP-MODERN;PM-2025,25.0,Maximalkapazität BHV
HP-BETR,CH,vermoegen,100000.00,CHF,ja,HP-KLASSIK;HP-MODERN;PM-2025,60.0,Sublimit reine Vermögensschäden
HP-BETR,CH,vermoegen,250000.00,CHF,nein,HP-MODERN;PM-2025,40.0,
HP-BETR,DE,personen_sach,3000000.00,EUR,nein,HP-KLASSIK;HP-MODERN;PM-2025,30.0,
HP-BETR,DE,personen_sach,5000000.00,EUR,ja,HP-KLASSIK;HP-MODERN;PM-2025,50.0,Standard; Jahreshöchstleistung 2-fach
HP-BETR,DE,personen_sach,10000000.00,EUR,nein,HP-MODERN;PM-2025,20.0,Maximalkapazität BHV
HP-BETR,DE,vermoegen,100000.00,EUR,ja,HP-KLASSIK;HP-MODERN;PM-2025,55.0,
HP-BETR,DE,vermoegen,250000.00,EUR,nein,HP-MODERN;PM-2025,30.0,
HP-BETR,DE,vermoegen,500000.00,EUR,nein,HP-MODERN;PM-2025,15.0,
HP-BERUF,CH,vermoegen,1000000.00,CHF,ja,HP-KLASSIK;HP-MODERN;PM-2025,45.0,Jahresmaximum 2-fach
HP-BERUF,CH,vermoegen,2000000.00,CHF,nein,HP-KLASSIK;HP-MODERN;PM-2025,35.0,
HP-BERUF,CH,vermoegen,5000000.00,CHF,nein,HP-MODERN;PM-2025,20.0,Umsatz > 5 Mio. mit Rückversicherung
HP-BERUF,CH,personen_sach,5000000.00,CHF,ja,HP-KLASSIK;HP-MODERN;PM-2025,100.0,Bürobetrieb-Grunddeckung
HP-BERUF,DE,vermoegen,250000.00,EUR,nein,HP-KLASSIK;HP-MODERN;PM-2025,25.0,Mindestdeckung Steuerberater § 67 StBerG
HP-BERUF,DE,vermoegen,500000.00,EUR,nein,HP-KLASSIK;HP-MODERN;PM-2025,30.0,
HP-BERUF,DE,vermoegen,1000000.00,EUR,ja,HP-KLASSIK;HP-MODERN;PM-2025,30.0,Standard
HP-BERUF,DE,vermoegen,2000000.00,EUR,nein,HP-MODERN;PM-2025,15.0,
HP-BERUF,DE,personen_sach,3000000.00,EUR,ja,HP-KLASSIK;HP-MODERN;PM-2025,60.0,Bürobetrieb-Grunddeckung
HP-BERUF,DE,personen_sach,5000000.00,EUR,nein,HP-MODERN;PM-2025,40.0,
