code,name,bereich,phase,format,laenge_seiten_typisch,anzahl_pro_1000,sprache,quellsystem,ground_truth_json
V01,Offerte / Angebot,vertrag,angebot,pdf,2-4,1300,de-CH;de-DE;fr;it,HAPO;MINT,true
V02,Antrag / Antragsformular,vertrag,antrag,pdf;scan;json,2-10,1000,de-CH;de-DE;fr;it,DOKU;MINT,true
V03,Betriebsbeschreibung / Risikofragebogen,vertrag,antrag,pdf;docx;eml,3-8,250,de-CH;de-DE,DOKU;MINT,true
V04,Beratungsprotokoll (nur DE),vertrag,antrag,pdf;scan,1-3,480,de-DE,DOKU;MINT,false
V05,Produktinformationsblatt / IPID / Kundeninformation,vertrag,antrag,pdf,2-5,1000,de-CH;de-DE;fr,DOKU;MINT,false
V06,Police / Versicherungsschein,vertrag,policierung,pdf;scan,2-8,1000,de-CH;de-DE;fr;it,HAPO;MINT,true
V07,Allgemeine Versicherungsbedingungen (AVB CH / AHB DE),vertrag,policierung,pdf,12-30,1000,de-CH;de-DE;fr,DOKU;MINT,false
V08,Besondere Bedingungen / Klauseln,vertrag,policierung,pdf,1-6,600,de-CH;de-DE,DOKU;MINT,false
V09,Nachtrag / Nachtragspolice,vertrag,bestand,pdf,1-3,450,de-CH;de-DE;fr,HAPO;MINT,true
V10,Deckungsbestätigung / Versicherungsnachweis,vertrag,bestand,pdf,1,150,de-CH;de-DE,HAPO;MINT,false
V11,Prämienrechnung / Beitragsrechnung,vertrag,inkasso,pdf,1-2,2500,de-CH;de-DE;fr;it,HAPO;MINT,true
V12,Zahlungserinnerung / Mahnung (Stufe 1-3),vertrag,inkasso,pdf,1,100,de-CH;de-DE;fr,HAPO;MINT,true
V13,Mitteilung Deckungsunterbruch / Leistungsfreiheit,vertrag,inkasso,pdf,1,15,de-CH;de-DE,HAPO,false
V14,Kündigungsschreiben Versicherungsnehmer,vertrag,beendigung,scan;eml;json,0.5-1,95,de-CH;de-DE;fr;it,DOKU;MINT,true
