produkt,markt,kanal,herkunft,jahr,neugeschaeft_rate_pct,storno_rate_pct,nachtrag_rate,mahn_rate_pct,kuendigung_vu_rate_pct,bemerkung
HP-PRIV,CH,agentur,alle,2016,10.0,5.1,0.15,6.75,0.2,
HP-PRIV,CH,agentur,alle,2017,10.0,5.1,0.15,6.75,0.2,
HP-PRIV,CH,agentur,alle,2018,10.0,5.2,0.15,6.75,0.2,
HP-PRIV,CH,agentur,alle,2019,10.0,5.25,0.15,6.75,0.2,
HP-PRIV,CH,agentur,alle,2020,9.0,4.69,0.15,7.76,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,CH,agentur,pfefferminz,2021,10.0,5.35,0.15,6.75,0.2,
HP-PRIV,CH,agentur,pfefferminz,2022,10.0,5.35,0.15,6.75,0.2,
HP-PRIV,CH,agentur,pfefferminz,2023,10.0,5.3,0.15,7.76,0.2,
HP-PRIV,CH,agentur,pfefferminz,2024,10.0,5.41,0.15,6.75,0.2,
HP-PRIV,CH,agentur,pfefferminz,2025,10.0,7.29,0.15,6.75,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,CH,makler,alle,2016,11.0,6.3,0.15,6.0,0.2,
HP-PRIV,CH,makler,alle,2017,11.0,6.3,0.15,6.0,0.2,
HP-PRIV,CH,makler,alle,2018,11.0,6.43,0.15,6.0,0.2,
HP-PRIV,CH,makler,alle,2019,11.0,6.49,0.15,6.0,0.2,
HP-PRIV,CH,makler,alle,2020,9.9,5.8,0.15,6.9,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,CH,makler,pfefferminz,2021,11.0,6.62,0.15,6.0,0.2,
HP-PRIV,CH,makler,pfefferminz,2022,11.0,6.62,0.15,6.0,0.2,
HP-PRIV,CH,makler,pfefferminz,2023,11.0,6.55,0.15,6.9,0.2,
HP-PRIV,CH,makler,pfefferminz,2024,11.0,6.68,0.15,6.0,0.2,
HP-PRIV,CH,makler,pfefferminz,2025,11.0,9.01,0.15,6.0,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,CH,direkt,alle,2016,13.0,8.1,0.15,9.38,0.2,
HP-PRIV,CH,direkt,alle,2017,13.0,8.1,0.15,9.38,0.2,
HP-PRIV,CH,direkt,alle,2018,13.0,8.26,0.15,9.38,0.2,
HP-PRIV,CH,direkt,alle,2019,13.0,8.34,0.15,9.38,0.2,
HP-PRIV,CH,direkt,alle,2020,11.7,7.45,0.15,10.78,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,CH,direkt,pfefferminz,2021,13.0,8.51,0.15,9.38,0.2,
HP-PRIV,CH,direkt,minzia,2021,20.8,10.63,0.15,9.38,0.2,
HP-PRIV,CH,direkt,pfefferminz,2022,13.0,8.51,0.15,9.38,0.2,
HP-PRIV,CH,direkt,minzia,2022,20.8,10.63,0.15,9.38,0.2,
HP-PRIV,CH,direkt,pfefferminz,2023,13.0,8.42,0.15,10.78,0.2,
HP-PRIV,CH,direkt,minzia,2023,20.8,10.53,0.15,10.78,0.2,
HP-PRIV,CH,direkt,pfefferminz,2024,13.0,8.59,0.15,9.38,0.2,
HP-PRIV,CH,direkt,minzia,2024,20.8,10.73,0.15,9.38,0.2,
HP-PRIV,CH,direkt,pfefferminz,2025,13.0,11.58,0.15,9.38,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,CH,direkt,minzia,2025,20.8,12.25,0.15,9.38,0.2,
HP-PRIV,CH,bank,alle,2016,7.0,5.4,0.15,7.12,0.2,
HP-PRIV,CH,bank,alle,2017,7.0,5.4,0.15,7.12,0.2,
HP-PRIV,CH,bank,alle,2018,7.0,5.51,0.15,7.12,0.2,
HP-PRIV,CH,bank,alle,2019,7.0,5.56,0.15,7.12,0.2,
HP-PRIV,CH,bank,alle,2020,6.3,4.97,0.15,8.19,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,CH,bank,pfefferminz,2021,7.0,5.67,0.15,7.12,0.2,
HP-PRIV,CH,bank,pfefferminz,2022,7.0,5.67,0.15,7.12,0.2,
HP-PRIV,CH,bank,pfefferminz,2023,7.0,5.62,0.15,8.19,0.2,
HP-PRIV,CH,bank,pfefferminz,2024,7.0,5.72,0.15,7.12,0.2,
HP-PRIV,CH,bank,pfefferminz,2025,7.0,7.72,0.15,7.12,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,DE,agentur,alle,2016,10.0,9.35,0.15,6.75,0.2,
HP-PRIV,DE,agentur,alle,2017,10.0,9.35,0.15,6.75,0.2,
HP-PRIV,DE,agentur,alle,2018,10.0,9.54,0.15,6.75,0.2,
HP-PRIV,DE,agentur,alle,2019,10.0,9.63,0.15,6.75,0.2,
HP-PRIV,DE,agentur,alle,2020,9.0,8.6,0.15,7.76,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,DE,agentur,pfefferminz,2021,10.0,9.82,0.15,6.75,0.2,
HP-PRIV,DE,agentur,pfefferminz,2022,10.0,9.82,0.15,6.75,0.2,
HP-PRIV,DE,agentur,pfefferminz,2023,10.0,9.72,0.15,7.76,0.2,
HP-PRIV,DE,agentur,pfefferminz,2024,10.0,9.91,0.15,6.75,0.2,
HP-PRIV,DE,agentur,pfefferminz,2025,10.0,13.37,0.15,6.75,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,DE,makler,alle,2016,11.0,11.55,0.15,6.0,0.2,
HP-PRIV,DE,makler,alle,2017,11.0,11.55,0.15,6.0,0.2,
HP-PRIV,DE,makler,alle,2018,11.0,11.78,0.15,6.0,0.2,
HP-PRIV,DE,makler,alle,2019,11.0,11.9,0.15,6.0,0.2,
HP-PRIV,DE,makler,alle,2020,9.9,10.63,0.15,6.9,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,DE,makler,pfefferminz,2021,11.0,12.13,0.15,6.0,0.2,
HP-PRIV,DE,makler,pfefferminz,2022,11.0,12.13,0.15,6.0,0.2,
HP-PRIV,DE,makler,pfefferminz,2023,11.0,12.01,0.15,6.9,0.2,
HP-PRIV,DE,makler,pfefferminz,2024,11.0,12.24,0.15,6.0,0.2,
HP-PRIV,DE,makler,pfefferminz,2025,11.0,16.52,0.15,6.0,0.2,Fusionseffekt: Praemienharmonisierung und Systemmigration
HP-PRIV,DE,direkt,alle,2016,13.0,14.85,0.15,9.38,0.2,
HP-PRIV,DE,direkt,alle,2017,13.0,14.85,0.15,9.38,0.2,
HP-PRIV,DE,direkt,alle,2018,13.0,15.15,0.15,9.38,0.2,
HP-PRIV,DE,direkt,alle,2019,13.0,15.3,0.15,9.38,0.2,
HP-PRIV,DE,direkt,alle,2020,11.7,13.66,0.15,10.78,0.2,"Pandemiejahr: weniger Neugeschaeft, mehr Mahnungen"
HP-PRIV,DE,direkt,pfefferminz,2021,13.0,15.59,0.15,9.38,0.2,
HP-PRIV,DE,direkt,minzia,2021,20.8,19.49,0.15,9.38,0.2,
HP-PRIV,DE,direkt,pfefferminz,2022,13.0,15.59,0.15,9.38,0.2,
HP-PRIV,DE,direkt,minzia,2022,20.8,19.49,0.15,9.38,0.2,
