schadenart_id,bezeichnung,produkt,markt,anteil_pct,waehrung,lognormal_mu,lognormal_sigma,nullschaden_anteil_pct,abwehrquote_pct,abwicklungsdauer_median_tage,abwicklungsdauer_p90_tage,saison_jan,saison_feb,saison_mar,saison_apr,saison_mai,saison_jun,saison_jul,saison_aug,saison_sep,saison_okt,saison_nov,saison_dez
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-PRIV,CH,55,CHF,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-PRIV,DE,52,EUR,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-BETR,CH,30,CHF,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-BETR,DE,30,EUR,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-BERUF,CH,2,CHF,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-BEW,Sachschaden Dritter an beweglichen Sachen,HP-BERUF,DE,2,EUR,6.1,0.9,20,15,35,120,0.85,0.85,0.95,1.05,1.1,1.15,1.2,1.2,1.05,0.95,0.85,0.8
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-PRIV,CH,18,CHF,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-PRIV,DE,20,EUR,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-BETR,CH,15,CHF,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-BETR,DE,15,EUR,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-BERUF,CH,1,CHF,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-SACH-IMMO,"Sachschaden an Immobilie / Mietsache (Wasser, Brand, Parkett)",HP-BERUF,DE,1,EUR,7.5,1.0,15,15,60,240,1.2,1.1,0.95,0.85,0.8,0.8,0.8,0.85,1.05,1.25,1.25,1.1
SA-BEARB,Bearbeitungs- / Obhutsschaden (Tätigkeitsschaden),HP-BETR,CH,25,CHF,7.7,1.0,15,20,90,300,0.7,0.75,0.95,1.1,1.2,1.2,1.15,1.15,1.15,1.05,0.85,0.75
