frage_id,fragebogen_version,generationen,reihenfolge,frage_text,antworttyp,freitext_bei_antwort,zeitraum_jahre,themenbereich,icd10_kapitel_bezug,aequivalent_gf_2025,hinweis
GF-1985-01,GF-1985,PK-85,1,Groesse und Gewicht,ZAHL,,0,KOERPERMASSE,,GF-2025-01;GF-2025-02,Angabe in cm/kg handschriftlich; teils in Pfund bei DE-Altbestand vor 1990
GF-1985-02,GF-1985,PK-85,2,Sind Sie zur Zeit gesund und voll arbeitsfaehig?,JA_NEIN,NEIN,0,ALLGEMEIN,,GF-2025-05,Negativ formuliert: NEIN ist auffaellig; Extraktionsfalle
GF-1985-03,GF-1985,PK-85,3,Leiden Sie an einer Krankheit oder einem Gebrechen?,JA_NEIN,JA,0,ERKRANKUNG_ALLGEMEIN,ALLE,GF-2025-06,"Kein Zeitraum, keine Krankheitsliste; nach GF-2025 waere vieles anzeigepflichtig, hier nicht (S04)"
GF-1985-04,GF-1985,PK-85,4,Waren Sie in den letzten 5 Jahren in aerztlicher Behandlung oder im Spital?,JA_NEIN,JA,5,BEHANDLUNG,ALLE,GF-2025-07;GF-2025-08,
GF-1985-05,GF-1985,PK-85,5,"Rauchen Sie? Wenn ja, wieviel taeglich?",JA_NEIN,JA,0,NIKOTIN,F17,GF-2025-03,Kein Ex-Raucher-Begriff
GF-1985-06,GF-1985,PK-85,6,Trinken Sie regelmaessig alkoholische Getraenke?,JA_NEIN,JA,0,ALKOHOL,F10,GF-2025-04,Keine Mengenangabe verlangt
GF-1985-07,GF-1985,PK-85,7,"Sind Eltern oder Geschwister vor dem 60. Lebensjahr an Herz-, Kreislauf-, Krebs- oder Zuckerkrankheit gestorben?",JA_NEIN,JA,0,FAMILIENANAMNESE,,GF-2025-20,"Familienanamnese; in GF-2020 gestrichen, in GF-2025 wieder enthalten"
GF-1985-08,GF-1985,PK-85,8,Name und Anschrift Ihres Hausarztes,FREITEXT,,0,ARZT,,GF-2025-23,
GF-1995-01,GF-1995,PK-95;PK-2000;PK-2004,1,Groesse (cm),ZAHL,,0,KOERPERMASSE,,GF-2025-01,
GF-1995-02,GF-1995,PK-95;PK-2000;PK-2004,2,Gewicht (kg),ZAHL,,0,KOERPERMASSE,,GF-2025-02,
GF-1995-03,GF-1995,PK-95;PK-2000;PK-2004,3,Haben Sie in den letzten 12 Monaten geraucht? Anzahl Zigaretten pro Tag,JA_NEIN,JA,1,NIKOTIN,F17,GF-2025-03,12-Monats-Definition eingefuehrt
GF-1995-04,GF-1995,PK-95;PK-2000;PK-2004,4,"Trinken Sie Alkohol? Wenn ja, wieviel pro Woche?",JA_NEIN,JA,0,ALKOHOL,F10,GF-2025-04,
GF-1995-05,GF-1995,PK-95;PK-2000;PK-2004,5,"Waren Sie in den letzten 5 Jahren in aerztlicher Behandlung, Untersuchung oder Beratung?",JA_NEIN,JA,5,BEHANDLUNG,ALLE,GF-2025-07,Stolperstein S04: 5 Jahre statt 10 Jahre; ohne Krankheitsliste
