produkt_code,markt,kanal,herkunft,jahr,neugeschaeft_rate_pct,storno_rueckkauf_rate_pct,beitragsfrei_rate_pct,dynamik_annahme_rate_pct,leistungsfall_rate_pct,bemerkung
LV-RISK,CH,agentur,alle,2016,9.0,3.61,0.68,65.0,0.25,
LV-RISK,CH,agentur,alle,2017,9.0,3.61,0.68,64.2,0.25,
LV-RISK,CH,agentur,alle,2018,9.0,3.68,0.68,63.4,0.25,
LV-RISK,CH,agentur,alle,2019,9.0,3.72,0.68,62.6,0.25,
LV-RISK,CH,agentur,pfefferminz,2020,7.65,3.97,0.89,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,agentur,pfefferminz,2021,9.0,3.61,0.68,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,agentur,pfefferminz,2022,9.0,3.9,0.68,60.2,0.25,
LV-RISK,CH,agentur,pfefferminz,2023,9.0,4.15,0.89,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,CH,agentur,pfefferminz,2024,9.0,3.79,0.68,58.6,0.25,
LV-RISK,CH,agentur,pfefferminz,2025,9.0,5.06,0.68,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,CH,makler,alle,2016,9.9,4.68,0.68,65.0,0.25,
LV-RISK,CH,makler,alle,2017,9.9,4.68,0.68,64.2,0.25,
LV-RISK,CH,makler,alle,2018,9.9,4.77,0.68,63.4,0.25,
LV-RISK,CH,makler,alle,2019,9.9,4.82,0.68,62.6,0.25,
LV-RISK,CH,makler,pfefferminz,2020,8.42,5.14,0.89,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,makler,pfefferminz,2021,9.9,4.68,0.68,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,makler,pfefferminz,2022,9.9,5.05,0.68,60.2,0.25,
LV-RISK,CH,makler,pfefferminz,2023,9.9,5.38,0.89,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,CH,makler,pfefferminz,2024,9.9,4.91,0.68,58.6,0.25,
LV-RISK,CH,makler,pfefferminz,2025,9.9,6.55,0.68,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,CH,direkt,alle,2016,12.6,5.74,0.79,65.0,0.25,
LV-RISK,CH,direkt,alle,2017,12.6,5.74,0.79,64.2,0.25,
LV-RISK,CH,direkt,alle,2018,12.6,5.85,0.79,63.4,0.25,
LV-RISK,CH,direkt,alle,2019,12.6,5.91,0.79,62.6,0.25,
LV-RISK,CH,direkt,pfefferminz,2020,10.71,6.31,1.03,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,direkt,minzia,2020,19.28,7.57,1.03,53.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,direkt,pfefferminz,2021,12.6,5.74,0.79,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,direkt,minzia,2021,22.68,6.89,0.79,53.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,direkt,pfefferminz,2022,12.6,6.2,0.79,60.2,0.25,
LV-RISK,CH,direkt,minzia,2022,22.68,7.44,0.79,52.2,0.25,
LV-RISK,CH,direkt,pfefferminz,2023,12.6,6.6,1.03,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,CH,direkt,minzia,2023,22.68,7.92,1.03,51.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,CH,direkt,pfefferminz,2024,12.6,6.02,0.79,58.6,0.25,
LV-RISK,CH,direkt,minzia,2024,22.68,7.23,0.79,50.6,0.25,
LV-RISK,CH,direkt,pfefferminz,2025,12.6,8.03,0.79,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,CH,direkt,minzia,2025,22.68,7.71,0.79,49.8,0.25,
LV-RISK,CH,bank,alle,2016,7.2,4.04,0.72,65.0,0.25,
LV-RISK,CH,bank,alle,2017,7.2,4.04,0.72,64.2,0.25,
LV-RISK,CH,bank,alle,2018,7.2,4.12,0.72,63.4,0.25,
LV-RISK,CH,bank,alle,2019,7.2,4.16,0.72,62.6,0.25,
LV-RISK,CH,bank,pfefferminz,2020,6.12,4.44,0.94,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,bank,pfefferminz,2021,7.2,4.04,0.72,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,CH,bank,pfefferminz,2022,7.2,4.36,0.72,60.2,0.25,
LV-RISK,CH,bank,pfefferminz,2023,7.2,4.64,0.94,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,CH,bank,pfefferminz,2024,7.2,4.24,0.72,58.6,0.25,
LV-RISK,CH,bank,pfefferminz,2025,7.2,5.65,0.72,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,DE,agentur,alle,2016,9.0,4.89,0.84,65.0,0.25,
LV-RISK,DE,agentur,alle,2017,9.0,4.89,0.84,64.2,0.25,
LV-RISK,DE,agentur,alle,2018,9.0,4.99,0.84,63.4,0.25,
LV-RISK,DE,agentur,alle,2019,9.0,5.03,0.84,62.6,0.25,
LV-RISK,DE,agentur,pfefferminz,2020,7.65,5.38,1.09,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,agentur,pfefferminz,2021,9.0,4.89,0.84,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,agentur,pfefferminz,2022,9.0,5.28,0.84,60.2,0.25,
LV-RISK,DE,agentur,pfefferminz,2023,9.0,5.62,1.09,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,DE,agentur,pfefferminz,2024,9.0,5.13,0.84,58.6,0.25,
LV-RISK,DE,agentur,pfefferminz,2025,9.0,6.84,0.84,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,DE,makler,alle,2016,9.9,6.33,0.84,65.0,0.25,
LV-RISK,DE,makler,alle,2017,9.9,6.33,0.84,64.2,0.25,
LV-RISK,DE,makler,alle,2018,9.9,6.45,0.84,63.4,0.25,
LV-RISK,DE,makler,alle,2019,9.9,6.51,0.84,62.6,0.25,
LV-RISK,DE,makler,pfefferminz,2020,8.42,6.96,1.09,61.8,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,makler,pfefferminz,2021,9.9,6.33,0.84,61.0,0.29,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RISK,DE,makler,pfefferminz,2022,9.9,6.83,0.84,60.2,0.25,
LV-RISK,DE,makler,pfefferminz,2023,9.9,7.27,1.09,59.4,0.25,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RISK,DE,makler,pfefferminz,2024,9.9,6.64,0.84,58.6,0.25,
LV-RISK,DE,makler,pfefferminz,2025,9.9,8.86,0.84,57.8,0.25,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RISK,DE,direkt,alle,2016,12.6,7.76,0.97,65.0,0.25,
LV-RISK,DE,direkt,alle,2017,12.6,7.76,0.97,64.2,0.25,
LV-RISK,DE,direkt,alle,2018,12.6,7.92,0.97,63.4,0.25,
