leistungsart_code,bezeichnung_de,produkte,maerkte,fallvariante,ausloeser,nachweise_dokumenttypen,durchlaufzeit_median_tage,durchlaufzeit_p90_tage,langlaeufer_anteil_pct,anteil_basis,anteil_pct,silas_code,mint_code,bemerkung
TOD,Todesfall,LV-RISK;LV-VORS;LV-RENTE,CH;DE,STANDARD,"Tod der versicherten Person, Vertrag > 5 Jahre, Bezugsrecht namentlich",D28;D29;D30;D13;D05,11,28,1.0,LEISTUNGSFAELLE,38.0,T1,DEATH_STANDARD,"Median 8 / p90 20 Arbeitstage, in Kalendertage umgerechnet"
TOD,Todesfall,LV-RISK;LV-VORS;LV-RENTE,CH;DE,VERTRAG_JUNG,Tod innerhalb 5 Jahren nach Abschluss oder Wiederinkraftsetzung (Nachpruefung Anzeigepflicht),D28;D29;D30;D06;D09;D04;D08,45,120,8.0,LEISTUNGSFAELLE,12.0,T2,DEATH_EARLY,Obligatorische Nachpruefung Anzeigepflicht gemaess LPR Kap. 3 und 5
TOD,Todesfall,LV-RISK;LV-VORS;LV-RENTE,CH;DE,ERBEN_OHNE_ERBSCHEIN,"Bezugsrecht 'gesetzliche Erben' oder fehlend, Erbschein/Erbbescheinigung ausstehend",D28;D29;D30;D31;D22;D36,90,240,20.0,LEISTUNGSFAELLE,7.0,T3,DEATH_HEIRS,Stolperstein S01 unklare Bezugsrechte
TOD,Todesfall,LV-RISK;LV-VORS;LV-RENTE,CH;DE,AUSLAND_UNNATUERLICH,"Tod im Ausland oder unnatuerlicher Tod (Unfall, Suizid, Gewalt, ungeklaert)",D28;D29;D30;D36;D40,120,365,30.0,LEISTUNGSFAELLE,3.0,T4,DEATH_ABROAD,"Apostille, Uebersetzung, Polizeibericht; Betrugsmuster BM-02 und False-Positive-Zwilling S12"
EU,Erwerbsunfaehigkeit (EU-Rente),LV-EU,CH,ERSTPRUEFUNG,"Erwerbsunfaehigkeit >= 25 % nach Wartefrist, IV-Koordination",D32;D06;D09;D33;D34;D05,110,240,15.0,LEISTUNGSFAELLE,11.0,E1,DISABILITY_CH,Teilgrade 25/40/50/60/70 %; Ueberentschaedigungsgrenze 90 %
BU,Berufsunfaehigkeit (BUZ-Rente),LV-EU,DE,ERSTPRUEFUNG,Berufsunfaehigkeit >= 50 % fuer voraussichtlich >= 6 Monate (§ 172 VVG),D32;D06;D09;D33;D34;D05,110,240,15.0,LEISTUNGSFAELLE,11.0,B1,DISABILITY_DE,Abstrakte Verweisung bei Altvertraegen bis PK-2007; konkrete ab PL-2012
PRAEMIENBEFREIUNG,Praemien-/Beitragsbefreiung bei EU/BU,LV-EU,CH;DE,MIT_HAUPTFALL,"Anerkannte EU/BU, Befreiung des Hauptvertrags",D32;D35;D14,14,45,2.0,LEISTUNGSFAELLE,3.0,E2,PREMIUM_WAIVER,Folgeleistung nach EU/BU-Anerkennung; bei PK-85 als Antragsklausel
ERLEBEN,Erleben / Ablauf,LV-VORS;LV-RENTE,CH;DE,STANDARD,"Ablaufdatum erreicht, Lebensnachweis erbracht",D27;D41;D26;D13,15,40,0.5,LEISTUNGSFAELLE,15.0,H1,MATURITY,Vorankuendigung 6 Monate; Optionen Kapital / Rente / Verlaengerung
RUECKKAUF,Rueckkauf (Kuendigung durch VN),LV-VORS;LV-RENTE,CH;DE,STANDARD,"Kuendigung, Rueckkaufswertberechnung, Auszahlung",D25;D26;D05,12,30,0.0,VERTRAEGE_PA,4.5,G1,SURRENDER,"Bestandsereignis, kein Leistungsfall im engeren Sinn; CH 3a nur mit Vorbezugsgrund; Rate 4-7 % p.a., Altvertraege 4 % Garantie < 1 %"
RENTENBEGINN,Rentenbeginn / Verrentung,LV-RENTE;LV-VORS,CH;DE,STANDARD,Rentenbeginn erreicht oder Rentenoption gewaehlt,D27;D41;D26;D13,20,45,0.5,VERTRAEGE_PA,2.0,J1,ANNUITY_START,"Rentenfaktor, Garantiezeit, Kapitalwahlrecht bis 3 Monate vor Beginn"
VORGEZOGEN_TERMINAL,Vorgezogene Todesfallleistung,LV-RISK,CH;DE,STANDARD,"Terminale Erkrankung, Prognose < 12 Monate",D06;D09;D35,30,75,2.0,LEISTUNGSFAELLE,0.5,T5,TERMINAL_ILLNESS,"Nur Generationen mit entsprechender Option (PL-2012 ff., MZ-2020, PZ-2025)"
RENTE_TOD_GARANTIEZEIT,Tod im Rentenbezug innerhalb Garantiezeit,LV-RENTE,CH;DE,STANDARD,Tod des Rentners vor Ablauf der Rentengarantiezeit,D28;D29;D31;D22,25,70,3.0,LEISTUNGSFAELLE,0.5,J2,ANNUITY_DEATH,Restgarantie an Bezugsberechtigte; Erbschein bei fehlendem Bezugsrecht
