tafel,alter,qx_m,qx_w,qx_unisex,beschreibung
T1985,18,0.000524,0.000325,0.000424,Tarifgenerationen PK-85 bis PK-2004
T1985,19,0.000541,0.000335,0.000438,Tarifgenerationen PK-85 bis PK-2004
T1985,20,0.000560,0.000347,0.000453,Tarifgenerationen PK-85 bis PK-2004
T1985,21,0.000580,0.000360,0.000470,Tarifgenerationen PK-85 bis PK-2004
T1985,22,0.000603,0.000374,0.000489,Tarifgenerationen PK-85 bis PK-2004
T1985,23,0.000628,0.000389,0.000509,Tarifgenerationen PK-85 bis PK-2004
T1985,24,0.000655,0.000406,0.000531,Tarifgenerationen PK-85 bis PK-2004
T1985,25,0.000686,0.000425,0.000555,Tarifgenerationen PK-85 bis PK-2004
T1985,26,0.000719,0.000446,0.000582,Tarifgenerationen PK-85 bis PK-2004
T1985,27,0.000755,0.000468,0.000612,Tarifgenerationen PK-85 bis PK-2004
T1985,28,0.000795,0.000493,0.000644,Tarifgenerationen PK-85 bis PK-2004
T1985,29,0.000839,0.000520,0.000679,Tarifgenerationen PK-85 bis PK-2004
T1985,30,0.000887,0.000550,0.000718,Tarifgenerationen PK-85 bis PK-2004
T1985,31,0.000940,0.000583,0.000761,Tarifgenerationen PK-85 bis PK-2004
T1985,32,0.000998,0.000619,0.000808,Tarifgenerationen PK-85 bis PK-2004
T1985,33,0.001062,0.000658,0.000860,Tarifgenerationen PK-85 bis PK-2004
T1985,34,0.001132,0.000702,0.000917,Tarifgenerationen PK-85 bis PK-2004
T1985,35,0.001209,0.000750,0.000979,Tarifgenerationen PK-85 bis PK-2004
T1985,36,0.001294,0.000802,0.001048,Tarifgenerationen PK-85 bis PK-2004
T1985,37,0.001387,0.000860,0.001123,Tarifgenerationen PK-85 bis PK-2004
T1985,38,0.001489,0.000923,0.001206,Tarifgenerationen PK-85 bis PK-2004
T1985,39,0.001601,0.000993,0.001297,Tarifgenerationen PK-85 bis PK-2004
T1985,40,0.001724,0.001069,0.001397,Tarifgenerationen PK-85 bis PK-2004
T1985,41,0.001860,0.001153,0.001506,Tarifgenerationen PK-85 bis PK-2004
T1985,42,0.002009,0.001245,0.001627,Tarifgenerationen PK-85 bis PK-2004
T1985,43,0.002172,0.001347,0.001759,Tarifgenerationen PK-85 bis PK-2004
T1985,44,0.002352,0.001458,0.001905,Tarifgenerationen PK-85 bis PK-2004
T1985,45,0.002549,0.001580,0.002065,Tarifgenerationen PK-85 bis PK-2004
T1985,46,0.002766,0.001715,0.002240,Tarifgenerationen PK-85 bis PK-2004
T1985,47,0.003004,0.001862,0.002433,Tarifgenerationen PK-85 bis PK-2004
T1985,48,0.003265,0.002025,0.002645,Tarifgenerationen PK-85 bis PK-2004
T1985,49,0.003553,0.002203,0.002878,Tarifgenerationen PK-85 bis PK-2004
T1985,50,0.003868,0.002398,0.003133,Tarifgenerationen PK-85 bis PK-2004
