generation_code,bezeichnung,gueltig_ab,gueltig_bis,herkunft,produkte,rechnungszins_de_pct,rechnungszins_de_ab_2022_pct,technischer_zins_ch_pct,sterbetafel_de,sterbetafel_ch,sterbetafel_vereinfacht,unisex_de,unisex_de_ab,unisex_ch,bedingungswerk_id_ch,bedingungswerk_id_de,suizidfrist_jahre_ch,suizidfrist_jahre_de,flugrisiko_ausschluss,nachversicherungsgarantie,rueckkauf_methode,zillmerung,verweisung_bu,annahmerichtlinie_version,antragsformular_generation,gesundheitsfragebogen_version,bestandsanteil_pct,vera_tarifcode,mint_tarifcode,kernunterschiede_bemerkung
PK-85,Pfefferminz Kapital 1985,1985-01-01,1994-06-30,PFEFFERMINZ,LV-VORS;LV-EU,3.5,,3.5,PM-Tafel 1985 T,PM-CH-Tafel 1978,T1985,NEIN,,NEIN,RW-LV-AVB-CH-1985,RW-LV-AVB-DE-1985,1,1,JA,NEIN,TABELLE,VOLL_JAHR1,ABSTRAKT,ARL-1985,F1985,GF-1985,4.0,K85,PZ-L-K85,DM-Summen (Umrechnung 1.95583); Praemienbefreiung als Antragsklausel; Bezugsrecht oft gesetzliche Erben; Flugrisiko-Ausschluss; nur gescannte Papierakten
PK-95,Pfefferminz Kapital / Risiko 1995,1994-07-01,2000-06-30,PFEFFERMINZ,LV-VORS;LV-RISK;LV-EU,4.0,,3.5,PM-Tafel 1994 T,PM-CH-Tafel 1988,T1985,NEIN,,NEIN,RW-LV-AVB-CH-1995,RW-LV-AVB-DE-1995,2,2,JA,NEIN,TABELLE,VOLL_JAHR1,ABSTRAKT,ARL-1985,F1995,GF-1995,10.0,K95,PZ-L-K95,Hoechste Garantie 4.0 % DE; Policenmodell DE (Widerspruchsrecht); Steuerprivileg DE 12 Jahre; Risikotarif PR-95
PK-2000,Pfefferminz Kapital / Rente 2000,2000-07-01,2003-12-31,PFEFFERMINZ,LV-VORS;LV-RENTE;LV-RISK;LV-EU,3.25,,3.0,PM-Tafel 1994 T / PM-Tafel 1994 R,PM-CH-Tafel 1998,T1985,NEIN,,NEIN,RW-LV-AVB-CH-2000,RW-LV-AVB-DE-2000,2,2,NEIN,NEIN,TABELLE,VOLL_JAHR1,ABSTRAKT,ARL-1985,F1995,GF-1995,9.0,K00,PZ-L-K00,Y2K-Migration in VERA: Altfelder mit 2-stelligem Jahr; Rententarif PR-2000
PK-2004,Pfefferminz Kapital / Rente 2004,2004-01-01,2006-12-31,PFEFFERMINZ,LV-VORS;LV-RENTE;LV-RISK;LV-EU,2.75,,2.5,PM-Tafel 2004 R / PM-Tafel 1994 T,PM-CH-Tafel 1998,T2004,NEIN,,NEIN,RW-LV-AVB-CH-2004,RW-LV-AVB-DE-2004,2,2,NEIN,NEIN,TABELLE,VOLL_JAHR1,ABSTRAKT,ARL-1985,F1995,GF-1995,11.0,K04,PZ-L-K04,Dezember-2004-Welle DE (Alterseinkuenftegesetz) mit Rueckdatierungen; Abschlussdatum vs. Versicherungsbeginn
PK-2007,Pfefferminz Kapital / Rente / Risiko 2007,2007-01-01,2011-12-31,PFEFFERMINZ,LV-VORS;LV-RENTE;LV-RISK;LV-EU,2.25,,2.0,PM-Tafel 2008 T / PM-Tafel 2004 R,PM-CH-Tafel 2008 G,T2004,NEIN,,NEIN,RW-LV-AVB-CH-2007,RW-LV-AVB-DE-2008,3,3,NEIN,NEIN,FORMEL,VERTEILT_5J,ABSTRAKT_BIS_2008,ARL-2008,F2008,GF-2008,11.0,K07,PZ-L-K07,"VVG-Reform DE 2008: Rueckkaufswert nach § 169, Abschlusskosten ueber 5 Jahre, Beratungsprotokoll; DE-AVB-Fassung 2008 unter Tarifcode PK-2007"
PL-2012,Pfefferminz Leben 2012,2012-01-01,2014-12-31,PFEFFERMINZ,LV-RENTE;LV-VORS;LV-RISK;LV-EU,1.75,,1.5,PM-Tafel 2008 T / PM-Tafel 2004 R,PM-CH-Tafel 2008 G,T2004,AB_2012-12-21,2012-12-21,NEIN,RW-LV-AVB-CH-2012,RW-LV-AVB-DE-2012,3,3,NEIN,NEIN,FORMEL,VERTEILT_5J,KONKRET,ARL-2008,F2008,GF-2008,10.0,L12,PZ-L-L12,Unisex-Bruch DE mitten in der Generation: zwei Kalkulationsbasen unter einem Tarifcode (Suffix -U ab 2012-12-21); CH bleibt geschlechtsabhaengig
PL-2015,Pfefferminz Leben 2015,2015-01-01,2016-12-31,PFEFFERMINZ,LV-RENTE;LV-VORS;LV-RISK;LV-EU,1.25,,1.0,PM-Tafel 2008 T / PM-Tafel 2004 R,PM-CH-Tafel 2008 G,T2004,JA,,NEIN,RW-LV-AVB-CH-2015,RW-LV-AVB-DE-2015,3,3,NEIN,NEIN,FORMEL,VERTEILT_5J,KONKRET,ARL-2015,F2008,GF-2008,7.0,L15,PZ-L-L15,Niedrigzins; erste Ueberschussdeklarationen nahe null; HIV unter Therapie ab ARL-2015 versicherbar
PL-2017,Pfefferminz Leben 2017,2017-01-01,2024-12-31,PFEFFERMINZ,LV-RENTE;LV-VORS;LV-RISK;LV-EU,0.9,0.25,0.25,PM-Tafel 2008 T / PM-Tafel 2004 R,PM-CH-Tafel 2018 G,T2004,JA,,NEIN,RW-LV-AVB-CH-2017,RW-LV-AVB-DE-2017,3,3,NEIN,NEIN,FORMEL,VERTEILT_5J,KONKRET,ARL-2015,F2008,GF-2008,18.0,L17,PZ-L-L17,DE Kapital-LV ab 2018-01-01 geschlossen (E05); ab 2022-01-01 DE-Rechnungszins 0.25 % unter gleichem Tarifcode (Suffix -N); CH neues VVG ab 2022; letzte Pfefferminz-Generation bis Closing
MZ-2020,Minzia RisikoLeben digital,2020-03-01,2024-12-31,MINZIA,LV-RISK;LV-EU,0.25,,0.25,PM-Tafel 2020 T,PM-Tafel 2020 T,T2020,JA,,JA,RW-LV-AVB-CH-MZ-2020,RW-LV-AVB-DE-MZ-2020,3,3,NEIN,JA,ENTFAELLT,KEINE,KONKRET,ARL-2020,F2020,GF-2020,12.0,,MZ-RL-2020,"Volldigital, Gesundheitsfragen als JSON, E-Signatur; Minzia kalkuliert von Beginn an mit 0.25 % (unter Hoechstrechnungszins); Unisex auch in CH (Produktentscheid Minzia); Nachversicherungsgarantie nur in Minzia-AVB; AVB Klartext 8-10 Seiten"
PZ-2025,Pfefferminzia 2025,2025-01-01,,PFEFFERMINZIA,LV-RISK;LV-VORS;LV-RENTE;LV-EU,1.0,,0.5,PM-Tafel 2020 T / PM-Tafel 2004 R,PM-CH-Tafel 2018 G,T2020,JA,,NEIN,RW-LV-AVB-CH-2025,RW-LV-AVB-DE-2025,3,3,NEIN,JA,FORMEL,VERTEILT_5J,KONKRET,ARL-2025,F2025,GF-2025,8.0,Z25,PZ-2025,Harmonisierte AVB CH/DE mit Laenderanhang; Referenz-Bedingungswerk fuer RAG; Migration MZ-Tarife auf PZ-Codes; CH weiterhin geschlechtsabhaengig (Kontrast zu DE)
