generation_code,markt,jahr,rechnungszins_pct,gesamtverzinsung_pct,zinsueberschuss_pct,risikoueberschuss_pct,schlussueberschuss_pct,kommentar
PK-85,DE,2016,3.5,2.9,0.0,30.0,3.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2017,3.5,2.75,0.0,30.0,2.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2018,3.5,2.6,0.0,30.0,2.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2019,3.5,2.5,0.0,30.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2020,3.5,2.35,0.0,30.0,2.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2021,3.5,2.25,0.0,30.0,2.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2022,3.5,2.15,0.0,30.0,1.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2023,3.5,2.2,0.0,30.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2024,3.5,2.45,0.0,30.0,1.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,DE,2025,3.5,2.6,0.0,30.0,1.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2016,3.5,2.25,0.0,25.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2017,3.5,2.1,0.0,25.0,2.24,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2018,3.5,2.0,0.0,25.0,2.08,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2019,3.5,1.9,0.0,25.0,1.92,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2020,3.5,1.75,0.0,25.0,1.76,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2021,3.5,1.6,0.0,25.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2022,3.5,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2023,3.5,1.55,0.0,25.0,1.28,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2024,3.5,1.8,0.0,25.0,1.12,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-85,CH,2025,3.5,2.0,0.0,25.0,0.96,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2016,4.0,2.9,0.0,30.0,3.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2017,4.0,2.75,0.0,30.0,2.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2018,4.0,2.6,0.0,30.0,2.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2019,4.0,2.5,0.0,30.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2020,4.0,2.35,0.0,30.0,2.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2021,4.0,2.25,0.0,30.0,2.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2022,4.0,2.15,0.0,30.0,1.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2023,4.0,2.2,0.0,30.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2024,4.0,2.45,0.0,30.0,1.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,DE,2025,4.0,2.6,0.0,30.0,1.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2016,3.5,2.25,0.0,25.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2017,3.5,2.1,0.0,25.0,2.24,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2018,3.5,2.0,0.0,25.0,2.08,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2019,3.5,1.9,0.0,25.0,1.92,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2020,3.5,1.75,0.0,25.0,1.76,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2021,3.5,1.6,0.0,25.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2022,3.5,1.5,0.0,25.0,1.44,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2023,3.5,1.55,0.0,25.0,1.28,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2024,3.5,1.8,0.0,25.0,1.12,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-95,CH,2025,3.5,2.0,0.0,25.0,0.96,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2016,3.25,2.9,0.0,30.0,3.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2017,3.25,2.75,0.0,30.0,2.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2018,3.25,2.6,0.0,30.0,2.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2019,3.25,2.5,0.0,30.0,2.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2020,3.25,2.35,0.0,30.0,2.2,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2021,3.25,2.25,0.0,30.0,2.0,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2022,3.25,2.15,0.0,30.0,1.8,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2023,3.25,2.2,0.0,30.0,1.6,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
PK-2000,DE,2024,3.25,2.45,0.0,30.0,1.4,Garantiezins ueber Gesamtverzinsung: kein Zinsueberschuss (Zinszusatzreserve DE)
