entscheid_code,bezeichnung,vera_code,mint_code,generation_code,markt,zielanteil_pct,automatisierungsquote_pct,beschreibung,bemerkung
N,Normale Annahme,1,ACCEPT,PK-85,CH,86,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-85,CH,6,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-85,CH,1,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-85,CH,2,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-85,CH,5,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-85,CH,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-85,DE,86,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-85,DE,6,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-85,DE,1,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-85,DE,2,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-85,DE,5,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-85,DE,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-95,CH,84,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-95,CH,7,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-95,CH,2,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-95,CH,2,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-95,CH,5,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-95,CH,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-95,DE,84,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-95,DE,7,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-95,DE,2,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-95,DE,2,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-95,DE,5,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-95,DE,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-2000,CH,82,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-2000,CH,8,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-2000,CH,3,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-2000,CH,3,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-2000,CH,4,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-2000,CH,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-2000,DE,82,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-2000,DE,8,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
A,Annahme mit Ausschluss,3,ACCEPT_EXCLUSION,PK-2000,DE,3,0,"Ausschlussklausel, vor allem LV-EU; bei Todesfall nur Extremsport",
R,Zurueckstellung,4,POSTPONE,PK-2000,DE,3,0,Entscheidung um 6-24 Monate vertagt,
X,Ablehnung,5,DECLINE,PK-2000,DE,4,0,Kein Versicherungsschutz; Ablehnungsschreiben ohne Diagnose,Hoehere Ablehnungsquote u. a. durch HIV-Ablehnung bis ARL-2008 und Diabetes Typ 1 (Stolperstein Altbestand)
RV,Rueckversicherung fakultativ,6,REINSURANCE_REFERRAL,PK-2000,DE,1,0,Ueberlappend zu N/Z/A; Summe ueber Selbstbehalt,"Ueberlappend, nicht Teil der 100 %; Summe > 1 Mio CHF/EUR"
N,Normale Annahme,1,ACCEPT,PK-2004,CH,81,0,Antrag zu Tarifbedingungen,
Z,Annahme mit Zuschlag,2,ACCEPT_LOADING,PK-2004,CH,9,0,Risikozuschlag in % der Risikopraemie (25-300) oder Promille der Summe,
