art,wert,land,branche
stamm,Aare,CH,
stamm,Jura,CH,
stamm,Alpina,CH,
stamm,Mittelland,CH,
stamm,Säntis,CH,
stamm,Rigi,CH,
stamm,Pilatus,CH,
stamm,Napf,CH,
stamm,Emme,CH,
stamm,Limmat,CH,
stamm,Reuss,CH,
stamm,Thur,CH,
stamm,Töss,CH,
stamm,Sihl,CH,
stamm,Gotthard,CH,
stamm,Bernina,CH,
stamm,Léman,CH,
stamm,Ticino,CH,
stamm,Helvetia-Nord,CH,
stamm,Weissenstein,CH,
stamm,Born,CH,
stamm,Engelberg,CH,
stamm,Hasli,CH,
stamm,Simme,CH,
stamm,Rhone,CH,
stamm,Glatt,CH,
stamm,Furka,CH,
stamm,Albula,CH,
stamm,Uetli,CH,
stamm,Bantiger,CH,
stamm,Belchen,CH,
stamm,Passwang,CH,
stamm,Wasserfallen,CH,
stamm,Grenchenberg,CH,
stamm,Olten-Süd,CH,
stamm,Solothurn-West,CH,
stamm,Dünnern,CH,
stamm,Wigger,CH,
stamm,Suhre,CH,
stamm,Bünz,CH,
stamm,Rhein,DE,
stamm,Main,DE,
stamm,Neckar,DE,
stamm,Isar,DE,
stamm,Elbe,DE,
stamm,Spree,DE,
stamm,Havel,DE,
stamm,Weser,DE,
stamm,Ems,DE,
stamm,Ruhr,DE,
stamm,Lippe,DE,
stamm,Donau,DE,
stamm,Inn,DE,
stamm,Lech,DE,
stamm,Mosel,DE,
stamm,Saar,DE,
stamm,Nahe,DE,
stamm,Lahn,DE,
stamm,Fulda,DE,
stamm,Werra,DE,
stamm,Leine,DE,
stamm,Aller,DE,
stamm,Oder,DE,
stamm,Neisse,DE,
stamm,Saale,DE,
stamm,Mulde,DE,
stamm,Taunus,DE,
stamm,Odenwald,DE,
stamm,Spessart,DE,
stamm,Harz,DE,
stamm,Eifel,DE,
stamm,Hunsrück,DE,
stamm,Allgäu,DE,
stamm,Schwarzwald,DE,
stamm,Bergstrasse,DE,
stamm,Havelland,DE,
stamm,Uckermark,DE,
stamm,Vogtland,DE,
stamm,Erzgebirge,DE,
stamm,Nordlicht,DE,
stamm,Hanse,DE,
stamm,Alster,DE,
stamm,Nordsee,DE,
stamm,Ostsee,DE,
branche,Schreinerei,,Handwerk Holz
branche,Zimmerei,,Handwerk Holz
branche,Sanitär,,Handwerk Gebäudetechnik
branche,Heizungsbau,,Handwerk Gebäudetechnik
branche,Elektro,,Handwerk Elektro
branche,Malerei,,Handwerk Bau
branche,Gipserei,,Handwerk Bau
branche,Dachdeckerei,,Handwerk Bau
branche,Bauunternehmung,,Bau
branche,Gartenbau,,Gartenbau
branche,Metallbau,,Metallbau
branche,Mechanik,,Maschinenbau
branche,Präzisionstechnik,,Maschinenbau
branche,Transporte,,Transport
branche,Logistik,,Transport
branche,Treuhand,,Treuhand
branche,Revisions,,Treuhand
branche,Consulting,,Beratung
branche,Beratung,,Beratung
branche,Informatik,,IT
branche,Software,,IT
branche,Digital,,IT
branche,Systems,,IT
branche,Architekten,,Architektur
branche,Ingenieure,,Ingenieurwesen
branche,Planung,,Ingenieurwesen
branche,Immobilien,,Immobilien
branche,Verwaltungs,,Immobilien
branche,Gastro,,Gastronomie
branche,Bäckerei,,Lebensmittel
branche,Metzgerei,,Lebensmittel
branche,Handel,,Handel
branche,Textil,,Handel
branche,Optik,,Handel
branche,Apotheke,,Gesundheit
branche,Physiotherapie,,Gesundheit
branche,Pflege,,Gesundheit
branche,Reinigung,,Dienstleistung
branche,Sicherheits,,Dienstleistung
branche,Event,,Dienstleistung
branche,Medien,,Medien
branche,Druck,,Medien
branche,Fahrschule,,Bildung
branche,Kinderkrippe,,Bildung
branche,Reisen,,Tourismus
branche,Hotel,,Tourismus
branche,Carrosserie,,Auto
branche,Garage,,Auto
branche,Autohaus,,Auto
branche,Velo,,Handel
rechtsform,AG,CH,
rechtsform,GmbH,CH,
rechtsform,Sàrl,CH,
rechtsform,SA,CH,
rechtsform,Sagl,CH,
rechtsform,KlG,CH,
rechtsform,GmbH,DE,
rechtsform,AG,DE,
rechtsform,GmbH & Co. KG,DE,
rechtsform,KG,DE,
rechtsform,e.K.,DE,
rechtsform,UG (haftungsbeschränkt),DE,
