nachname,sprachraum,gewicht,synthetisch
Müller,de-CH,100,false
Meier,de-CH,80,false
Schmid,de-CH,75,false
Keller,de-CH,70,false
Weber,de-CH,65,false
Huber,de-CH,60,false
Schneider,de-CH,55,false
Meyer,de-CH,55,false
Steiner,de-CH,50,false
Fischer,de-CH,50,false
Gerber,de-CH,45,false
Brunner,de-CH,45,false
Baumann,de-CH,40,false
Frei,de-CH,40,false
Zimmermann,de-CH,40,false
Moser,de-CH,38,false
Widmer,de-CH,38,false
Wyss,de-CH,36,false
Graf,de-CH,35,false
Roth,de-CH,35,false
Suter,de-CH,34,false
Bühler,de-CH,32,false
Berger,de-CH,32,false
Kaufmann,de-CH,30,false
Hofer,de-CH,30,false
Lüthi,de-CH,28,false
Koch,de-CH,28,false
Bachmann,de-CH,27,false
Zürcher,de-CH,26,false
Gasser,de-CH,26,false
Egli,de-CH,25,false
Kunz,de-CH,25,false
Hess,de-CH,24,false
Bieri,de-CH,24,false
Christen,de-CH,23,false
Marti,de-CH,23,false
Wenger,de-CH,22,false
Studer,de-CH,22,false
Stalder,de-CH,22,false
Ammann,de-CH,21,false
Lehmann,de-CH,21,false
Aebi,de-CH,20,false
Bader,de-CH,20,false
Bürgi,de-CH,20,false
Flückiger,de-CH,20,false
Frey,de-CH,20,false
Furrer,de-CH,19,false
Gloor,de-CH,19,false
Haas,de-CH,19,false
Hauser,de-CH,19,false
Hunziker,de-CH,18,false
Imhof,de-CH,18,false
Jenni,de-CH,18,false
Kälin,de-CH,18,false
Kohler,de-CH,18,false
Kuhn,de-CH,17,false
Leuenberger,de-CH,17,false
Locher,de-CH,17,false
Maurer,de-CH,17,false
Nussbaumer,de-CH,16,false
Odermatt,de-CH,16,false
Peter,de-CH,16,false
Pfister,de-CH,16,false
Rüegg,de-CH,16,false
Rohrer,de-CH,15,false
Sägesser,de-CH,15,false
Schärer,de-CH,15,false
Schwab,de-CH,15,false
Senn,de-CH,15,false
Sigrist,de-CH,15,false
Spörri,de-CH,14,false
Stadler,de-CH,14,false
Stoll,de-CH,14,false
Tanner,de-CH,14,false
