vorname,geschlecht,sprachraum,g_1930,g_1940,g_1950,g_1960,g_1970,g_1980,g_1990,g_2000
Vreni,W,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Trudi,W,de-CH,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Heidi,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Ruth,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Margrit,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Rosmarie,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Elisabeth,W,de-CH,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Verena,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Ursula,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Silvia,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Beatrice,W,de-CH,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Christine,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Barbara,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Monika,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Brigitte,W,de-CH,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Daniela,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sandra,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Andrea,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Claudia,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Nicole,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Manuela,W,de-CH,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Nadine,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Stefanie,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Corinne,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Fabienne,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Melanie,W,de-CH,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Jasmin,W,de-CH,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
