schaden_id,betrug_wahr,betrugsmuster,bemerkung
SCH-00000110,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000118,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000210,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000310,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000318,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000410,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000414,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000419,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000501,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000510,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000810,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000910,true,F7/F1/F2,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000912,false,,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000914,true,F7/F1/F2,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000916,true,F7/F1/F2,"Persona-Fall, siehe docs/personas/kunden"
SCH-00000918,true,F7/F1/F2,"Persona-Fall, siehe docs/personas/kunden"
